,bin,n,mean_p,realised,lo,hi,z,roi,bias
0,0.00-0.05,752,0.03693,0.03723,0.02588,0.05329,0.04475,-0.16769,0.00031
1,0.05-0.10,2843,0.07855,0.07598,0.0668,0.0863,-0.5115,-0.12631,-0.00258
2,0.10-0.15,5090,0.12718,0.12279,0.11406,0.13209,-0.94027,-0.09096,-0.00439
3,0.15-0.20,7756,0.17681,0.17702,0.16869,0.18568,0.05015,-0.03659,0.00022
4,0.20-0.25,12098,0.22763,0.21954,0.21225,0.227,-2.1222,-0.06951,-0.00809
5,0.25-0.30,23602,0.27662,0.27824,0.27256,0.28399,0.55606,-0.02153,0.00162
6,0.30-0.40,17479,0.33957,0.33709,0.33012,0.34413,-0.69337,-0.03038,-0.00248
7,0.40-0.50,10918,0.44688,0.44935,0.44004,0.4587,0.51889,-0.01338,0.00246
8,0.50-0.60,6963,0.54791,0.54904,0.53733,0.5607,0.19014,-0.01505,0.00113
9,0.60-0.70,4224,0.64533,0.65554,0.64107,0.66972,1.38933,-0.00031,0.01021
10,0.70-0.80,2477,0.74404,0.76383,0.7467,0.78014,2.26185,0.01145,0.01979
11,0.80-1.00,1261,0.84873,0.8517,0.83102,0.87025,0.29606,-0.01079,0.00297
