rule,bets,turnover,roi,total,t,roi no vig,mean odds,hit rate
back the favourite (PS close),31821,31821.0,-0.01491,-474.4,-2.67688,0.00352,1.9922,0.52381
back the longshot (PS close),31821,31821.0,-0.05053,-1608.01,-4.38607,-0.01007,5.55749,0.21341
back the draw (PS close),31821,31821.0,-0.03454,-1098.98,-3.58834,-0.00314,4.06055,0.25502
back the home (PS close),31821,31821.0,-0.02952,-939.35,-3.9886,-0.00621,2.78913,0.44185
back the favourite (B365 close),16322,16322.0,-0.03758,-613.41,-4.96833,0.00338,1.93263,0.52377
back the longshot (B365 close),16322,16322.0,-0.08637,-1409.73,-5.72529,-0.00135,5.0209,0.21511
back the draw (B365 close),16322,16322.0,-0.0513,-837.3,-3.90857,0.01922,3.93408,0.25438
back the home (B365 close),16322,16322.0,-0.07471,-1219.36,-7.53029,-0.02431,2.69838,0.43046
back the favourite (Max close),16306,16306.0,0.01182,192.78,1.47923,0.00902,2.03965,0.52294
back the longshot (Max close),16306,16306.0,-0.00693,-113.05,-0.40929,-0.0063,5.62055,0.21501
back the draw (Max close),16306,16306.0,-0.00225,-36.63,-0.16162,-0.00241,4.16227,0.25451
back the home (Max close),16306,16306.0,-0.0128,-208.78,-1.17034,-0.01482,2.9238,0.43052
