season,B365,BW,IW,LB,PS,VC,WH
1011,6.365,8.716,11.001,7.907,,4.094,6.663
1112,6.291,6.855,10.947,7.589,,3.396,6.634
1213,5.649,6.79,8.882,7.112,2.247,3.07,6.522
1314,4.981,6.938,8.809,6.472,2.19,2.982,6.403
1415,4.405,6.701,8.81,5.821,2.199,2.84,6.226
1516,4.215,6.579,8.786,6.286,2.19,3.086,6.115
1617,4.235,5.767,7.462,6.188,2.211,3.544,5.039
1718,4.329,5.565,6.582,6.3,2.336,3.52,5.932
1819,4.3,5.268,5.967,,2.691,3.559,5.411
1920,5.37,5.305,5.57,,3.191,5.127,5.32
2021,5.559,5.103,5.715,,2.657,5.824,5.579
2122,5.402,5.679,5.151,,2.643,6.195,6.312
2223,5.365,5.87,5.662,,2.683,7.582,6.444
2324,5.389,5.8,5.411,,3.338,6.585,7.921
2425,5.744,5.683,,,3.858,,5.665
2526,6.066,5.832,,6.491,3.824,,
