,name,venue,quote,lot,quote_conversion,multiplier,tick,tick_value
CL=F,WTI crude,NYMEX,USD/barrel,1000,1.0,1000.0,0.01,10.0
BZ=F,Brent crude,ICE Europe,USD/barrel,1000,1.0,1000.0,0.01,10.0
NG=F,Henry Hub gas,NYMEX,USD/MMBtu,10000,1.0,10000.0,0.001,10.0
HO=F,NY Harbor ULSD,NYMEX,USD/gallon,42000,1.0,42000.0,0.0001,4.2
RB=F,RBOB gasoline,NYMEX,USD/gallon,42000,1.0,42000.0,0.0001,4.2
GC=F,Gold,COMEX,USD/troy oz,100,1.0,100.0,0.1,10.0
SI=F,Silver,COMEX,USD/troy oz,5000,1.0,5000.0,0.005,25.0
HG=F,Copper,COMEX,USD/pound,25000,1.0,25000.0,0.0005,12.5
PL=F,Platinum,NYMEX,USD/troy oz,50,1.0,50.0,0.1,5.0
KC=F,Coffee C,ICE US,cents/pound,37500,0.01,375.0,0.05,18.75
ZC=F,Corn,CBOT,cents/bushel,5000,0.01,50.0,0.25,12.5
ZW=F,SRW wheat,CBOT,cents/bushel,5000,0.01,50.0,0.25,12.5
ZS=F,Soybeans,CBOT,cents/bushel,5000,0.01,50.0,0.25,12.5
