target_contracts,continuous,whole_contracts,eff_continuous,eff_integer,residual_notional_$,cost_of_rounding
1,0.9194706755564803,0,0.8338637528995333,0.0,-70836.02168667178,0.8338637528995333
1,0.9194706755564803,1,0.8338637528995333,0.82182790605947,6203.9792288555545,0.012035846840063313
2,1.8389413511129606,1,0.8338637528995333,0.6750026054500191,-64632.042457816235,0.15886114744951418
2,1.8389413511129606,2,0.8338637528995333,0.82182790605947,12407.958457711109,0.012035846840063313
5,4.597353377782402,4,0.8338637528995332,0.8264790623965578,-46020.104771249586,0.007384690502975411
5,4.597353377782402,5,0.8338637528995332,0.8218279060594699,31019.896144277755,0.012035846840063313
10,9.194706755564804,9,0.8338637528995332,0.8347170303248252,-15000.208626971833,-0.000853277425292065
10,9.194706755564804,10,0.8338637528995332,0.8218279060594699,62039.79228855551,0.012035846840063313
25,22.98676688891201,22,0.8338637528995332,0.8347596041146615,-76020.52202519319,-0.0008958512151283626
25,22.98676688891201,23,0.8338637528995332,0.833829372847244,1019.478890334159,3.438005228917351e-05
50,45.97353377782402,45,0.8338637528995332,0.8347170303248252,-75001.04313485902,-0.000853277425292065
50,45.97353377782402,46,0.8338637528995332,0.833829372847244,2038.957780668318,3.438005228917351e-05
100,91.94706755564803,91,0.8338637528995332,0.8343788370470027,-72962.08535419071,-0.0005150841474694801
100,91.94706755564803,92,0.8338637528995332,0.833829372847244,4077.915561336636,3.438005228917351e-05
