a,b,n,corr,r2,target,hedge
CL=F,BZ=F,2256,0.8865913980564216,0.7860443071076403,WTI crude,Brent crude
BZ=F,HO=F,2256,0.7953706999159174,0.6326145502847362,Brent crude,NY Harbor ULSD
GC=F,SI=F,2256,0.780891680306354,0.609791816371681,Gold,Silver
CL=F,HO=F,2256,0.7245085423250708,0.5249126279019989,WTI crude,NY Harbor ULSD
BZ=F,RB=F,2256,0.7200436342625105,0.518462835241964,Brent crude,RBOB gasoline
CL=F,RB=F,2256,0.6961564315130282,0.4846337771369535,WTI crude,RBOB gasoline
HO=F,RB=F,2256,0.6654395276499778,0.4428097649590256,NY Harbor ULSD,RBOB gasoline
SI=F,PL=F,2256,0.646793893384465,0.4183423405194347,Silver,Platinum
GC=F,PL=F,2256,0.573683228899613,0.32911244712068577,Gold,Platinum
ZC=F,ZS=F,2256,0.5391890641447793,0.2907248468933229,Corn,Soybeans
ZC=F,ZW=F,2256,0.5366991706844015,0.28804599981332435,Corn,SRW wheat
HG=F,PL=F,2256,0.39454264064101097,0.15566389528398192,Copper,Platinum
ZW=F,ZS=F,2256,0.3451049324520324,0.11909741440272184,SRW wheat,Soybeans
SI=F,HG=F,2256,0.3329621627757072,0.11086380184027655,Silver,Copper
BZ=F,HG=F,2256,0.2864820692597142,0.08207197600732768,Brent crude,Copper
CL=F,HG=F,2256,0.27816409608848813,0.07737526435272565,WTI crude,Copper
RB=F,HG=F,2256,0.26930269183563704,0.07252393982992009,RBOB gasoline,Copper
HO=F,HG=F,2256,0.24893254415046887,0.06196741153722513,NY Harbor ULSD,Copper
HG=F,ZS=F,2256,0.23792127566844226,0.05660653341569889,Copper,Soybeans
RB=F,PL=F,2256,0.21504596568158912,0.04624476735592721,RBOB gasoline,Platinum
BZ=F,PL=F,2256,0.2141117538494524,0.0458438431364885,Brent crude,Platinum
HO=F,PL=F,2256,0.21043804336913344,0.044284170097029285,NY Harbor ULSD,Platinum
CL=F,PL=F,2256,0.207186380246893,0.04292619615981014,WTI crude,Platinum
HO=F,ZS=F,2256,0.2026820637705755,0.04108001897429963,NY Harbor ULSD,Soybeans
GC=F,HG=F,2256,0.2010861951545248,0.04043565788172364,Gold,Copper
BZ=F,ZS=F,2256,0.1921267875623885,0.03691270249904316,Brent crude,Soybeans
CL=F,ZS=F,2256,0.18429326425772918,0.0339640072507692,WTI crude,Soybeans
KC=F,ZS=F,2256,0.18101434428233337,0.03276619283596312,Coffee C,Soybeans
BZ=F,ZC=F,2256,0.17659518765502427,0.031185860302913235,Brent crude,Corn
CL=F,ZC=F,2256,0.1758495988082893,0.0309230814010363,WTI crude,Corn
CL=F,SI=F,2256,0.1683567805475001,0.02834400555631911,WTI crude,Silver
HO=F,ZC=F,2256,0.16519582069471986,0.027289659175002035,NY Harbor ULSD,Corn
HG=F,KC=F,2256,0.16435652093250228,0.027013065973036057,Copper,Coffee C
PL=F,KC=F,2256,0.16431142863832238,0.026998245581166508,Platinum,Coffee C
BZ=F,SI=F,2256,0.15923171939853212,0.02535474046261287,Brent crude,Silver
BZ=F,KC=F,2256,0.1557746566722117,0.024265743661345426,Brent crude,Coffee C
HO=F,SI=F,2256,0.15492378160350592,0.0240013781063308,NY Harbor ULSD,Silver
HO=F,KC=F,2256,0.15379018519320212,0.023651421061759402,NY Harbor ULSD,Coffee C
RB=F,ZS=F,2256,0.15264134831581516,0.023299381215670007,RBOB gasoline,Soybeans
KC=F,ZC=F,2256,0.15210037687896485,0.023134524646723147,Coffee C,Corn
PL=F,ZS=F,2256,0.15068719700209465,0.022706631340348084,Platinum,Soybeans
CL=F,KC=F,2256,0.1492631922594137,0.022279500563470698,WTI crude,Coffee C
RB=F,ZC=F,2256,0.14835031592142295,0.022007816233985997,RBOB gasoline,Corn
SI=F,ZS=F,2256,0.14596469763525857,0.02130569295575246,Silver,Soybeans
SI=F,KC=F,2256,0.1428115212930655,0.020395130614039705,Silver,Coffee C
HG=F,ZC=F,2256,0.14088746020033016,0.019849276441699617,Copper,Corn
RB=F,SI=F,2256,0.13865848444403395,0.019226175308316405,RBOB gasoline,Silver
BZ=F,ZW=F,2256,0.12737569779341545,0.016224568388359503,Brent crude,SRW wheat
NG=F,HO=F,2256,0.12437895607512528,0.015470124714337943,Henry Hub gas,NY Harbor ULSD
KC=F,ZW=F,2256,0.11575571233982586,0.013399384939300513,Coffee C,SRW wheat
CL=F,ZW=F,2256,0.11321818209456808,0.012818356756798776,WTI crude,SRW wheat
HO=F,ZW=F,2256,0.11283022337483309,0.012730659306814732,NY Harbor ULSD,SRW wheat
RB=F,KC=F,2256,0.11101013405678122,0.012323249863304537,RBOB gasoline,Coffee C
GC=F,KC=F,2256,0.10127333748389192,0.010256288885126268,Gold,Coffee C
HG=F,ZW=F,2256,0.0980131033999793,0.009606568438095035,Copper,SRW wheat
CL=F,NG=F,2256,0.09748887983293626,0.009504081691080687,WTI crude,Henry Hub gas
SI=F,ZC=F,2256,0.09725362518476195,0.009458267611578164,Silver,Corn
NG=F,RB=F,2256,0.09709044251097389,0.009426554026976725,Henry Hub gas,RBOB gasoline
RB=F,ZW=F,2256,0.09044339460369906,0.00818000762744042,RBOB gasoline,SRW wheat
CL=F,GC=F,2256,0.0902909829564388,0.008152461603239921,WTI crude,Gold
GC=F,ZS=F,2256,0.08974503620430188,0.008054171523311456,Gold,Soybeans
HO=F,GC=F,2256,0.08768722674121447,0.007689049733565158,NY Harbor ULSD,Gold
BZ=F,NG=F,2256,0.08250581950240396,0.0068072102517632615,Brent crude,Henry Hub gas
SI=F,ZW=F,2256,0.0801896293296569,0.00643037665202777,Silver,SRW wheat
BZ=F,GC=F,2256,0.07897369905634327,0.006236845142641874,Brent crude,Gold
PL=F,ZW=F,2256,0.07772151844441998,0.006040634429306315,Platinum,SRW wheat
GC=F,ZW=F,2256,0.07212820184272649,0.005202477501065093,Gold,SRW wheat
PL=F,ZC=F,2256,0.06935611693475292,0.004810270956267121,Platinum,Corn
GC=F,ZC=F,2256,0.06449809236176839,0.004160003918307205,Gold,Corn
RB=F,GC=F,2256,0.06254143973899139,0.003911431684625891,RBOB gasoline,Gold
NG=F,PL=F,2256,0.059585830459302276,0.003550471191524715,Henry Hub gas,Platinum
NG=F,KC=F,2256,0.056572061743616425,0.003200398169923549,Henry Hub gas,Coffee C
NG=F,HG=F,2256,0.05250871860074861,0.0027571655290926033,Henry Hub gas,Copper
NG=F,ZS=F,2256,0.037711183959905484,0.0014221333956578326,Henry Hub gas,Soybeans
NG=F,ZC=F,2256,0.03429104980568394,0.0011758760967758965,Henry Hub gas,Corn
NG=F,ZW=F,2256,0.021998010901594103,0.000483912483626653,Henry Hub gas,SRW wheat
NG=F,SI=F,2256,0.01915086322097007,0.0003667555621083041,Henry Hub gas,Silver
NG=F,GC=F,2256,0.0031822843843706487,1.0126933903009279e-05,Henry Hub gas,Gold
