,ann_vol_%,skew,kurtosis,min_%,max_%,notional_$,daily_sd_$,tick_$
WTI crude,48.65832853017433,-0.274465456030066,34.78859411237116,-45.210728089346176,37.66233184702416,85760.00213623047,1761.2644440320892,10.0
Brent crude,41.38328018963687,-0.7213900340329231,14.080491300136435,-31.160968745633667,21.01859664934196,90489.99786376952,1788.46699871237,10.0
Henry Hub gas,66.13200921473897,0.33643572517134035,15.322351755464647,-47.479893260066596,46.48117697281202,29349.99942779541,1756.3859272575692,10.0
NY Harbor ULSD,40.64611809270223,-0.6554865968873433,8.796297637261372,-23.98829173577848,13.153136348859729,188802.59227752686,2878.3881959507466,4.2
RBOB gasoline,45.19437471032213,-0.5756835114363932,19.604701309450967,-31.978860338368097,25.102888974051375,144354.0015220642,2287.0704844692,4.2
Gold,16.64604831822103,-0.5481497537901188,8.023125503393992,-11.366200569716556,6.083292489183334,443110.009765625,3007.9681818885874,10.0
Silver,33.455104261955086,-1.2236026624151357,20.742720074737875,-31.346844308759625,14.025264653237324,331105.0033569336,5617.41996360177,25.0
Copper,24.22918423017751,-0.8927238433166018,18.449995570317782,-22.253141967258838,13.251079520310128,164837.50343322754,1566.10448723389,12.5
Platinum,30.854647879269475,-0.5220139823884244,7.400323313958635,-19.04211411840454,11.824703140562743,89420.00122070312,1362.7143115508234,5.0
Coffee C,34.31739849569356,0.2808089848231492,1.7391299583290731,-8.888584975541514,15.3017643733542,128962.49771118164,1746.136344506349,18.75
Corn,25.09220938262921,-0.9230088196549253,12.454319771905443,-17.386530014641288,8.023483365949113,25750.0,406.08805913569796,12.5
SRW wheat,31.281830265396458,0.7480956928203966,6.584755796331116,-10.682336432204876,21.776098252243735,37825.0,682.0484408373247,12.5
Soybeans,20.04862388751671,-0.37902305954430215,4.668052923595196,-10.498726973191552,6.63724949439235,63762.5,772.7950514021807,12.5
