,continuous,whole (1 contract)
effectiveness,0.8338637528995333,0.82182790605947
vol_reduction,0.5924018558672444,0.5778956361981908
sd_unhedged,2162.0454866039695,2162.0454866039695
sd_hedged,881.2457278703787,912.6088346335415
var95_unhedged,-2830.0018310546875,-2830.0018310546875
var95_hedged,-810.943949512278,-860.0036621093751
es95_unhedged,-5287.7141680036275,-5287.7141680036275
es95_hedged,-1751.4968408172683,-1783.5292816162066
worst_unhedged,-18539.993286132827,-18539.993286132827
worst_hedged,-6621.451382249414,-7069.999694824219
hit_rate,0.8938714499252616,0.8863976083707026
