target_name,hedge_name,h_full,h_median,h_iqr,h_cv,sign_flips_%,r2_median,r2_iqr,r2_p05,windows_r2_above_25%
WTI crude,Brent crude,0.9194706755564803,0.9329564020844543,0.12658291778825204,0.09453472353956566,0.0,0.888844424695038,0.14381267347027316,0.6977304091682648,100.0
Brent crude,WTI crude,0.9359189027881958,0.9300014896187534,0.08788425197701177,0.06746356962914286,0.0,0.888844424695038,0.14381267347027316,0.6977304091682648,100.0
Brent crude,NY Harbor ULSD,0.4338722957449227,0.703764028265095,0.3199079207910236,0.3153017449528661,0.0,0.7324766049187332,0.20968431437074098,0.26098151551899773,95.60362875087229
NY Harbor ULSD,Brent crude,1.1229014425594255,1.0609339542517966,0.20203024593800212,0.190667295495858,0.0,0.7324766049187332,0.20968431437074098,0.26098151551899773,95.60362875087229
Gold,Silver,0.6106300250698453,0.6718130878791246,0.1819652341056871,0.22170283552386558,0.0,0.6332637276054536,0.14158910122278645,0.4275375763627587,98.8834612700628
Silver,Gold,0.9851711053729524,0.922441916518068,0.3098536737708667,0.32599305714926696,0.0,0.6332637276054536,0.14158910122278645,0.4275375763627587,98.8834612700628
WTI crude,NY Harbor ULSD,0.4130816210890248,0.711580341076637,0.3071441867291449,0.31980371494309245,0.0,0.7337575324760857,0.24792990201851262,0.21784653743665097,93.30076762037683
NY Harbor ULSD,WTI crude,1.0882180584151095,1.0305670092409795,0.16020106623841035,0.20504435338799945,0.0,0.7337575324760857,0.24792990201851262,0.21784653743665097,93.30076762037683
Brent crude,RBOB gasoline,0.5694281001676934,0.5919293848982359,0.2433825619219684,0.31055669598443747,0.0,0.6385025047608917,0.26666338855414545,0.22249205260656765,94.2079553384508
RBOB gasoline,Brent crude,1.0431627816724598,1.0290666784426787,0.20442992254016779,0.15001570360589148,0.0,0.6385025047608917,0.26666338855414545,0.22249205260656765,94.2079553384508
WTI crude,RBOB gasoline,0.5587313233921909,0.5819688629244673,0.26172106008571716,0.30876670630453984,0.0,0.6143635554327478,0.2662848622122032,0.23472177498524813,94.66154919748779
RBOB gasoline,WTI crude,1.0418772234755083,1.0056444805946991,0.20527405157520717,0.15116567252793578,0.0,0.6143635554327478,0.2662848622122032,0.23472177498524813,94.66154919748779
NY Harbor ULSD,RBOB gasoline,0.7552960308417306,0.7194683486525992,0.29795555429683707,0.3633622613506602,0.0,0.5606934589248362,0.30894941096769335,0.20434479218325735,92.60293091416608
RBOB gasoline,NY Harbor ULSD,0.5346267333328185,0.8223176004143516,0.3586831117826994,0.3348903433552332,0.0,0.5606934589248362,0.30894941096769335,0.20434479218325735,92.60293091416608
Silver,Platinum,1.439037539172918,1.3608092755856616,0.6131299902735425,0.5055094069003753,0.0,0.4177984592080091,0.2000635716510461,0.2035820293680643,88.86950453593859
Platinum,Silver,0.2730500093645559,0.2947403124515667,0.1500254910992967,0.33384650913809993,0.0,0.4177984592080091,0.2000635716510461,0.2035820293680643,88.86950453593859
Gold,Platinum,1.036398271025019,1.0742894598780217,0.41016647293265707,0.3760212370380605,0.0,0.35081806421060235,0.23006465878113438,0.08934133915938362,73.20307048150732
