exchange,binance_us,binance_us,binance_us,binance_us,coinbase,coinbase,coinbase,coinbase,kraken,kraken,kraken,kraken,okx,okx,okx,okx
field,bid,ask,mid,age_s,bid,ask,mid,age_s,bid,ask,mid,age_s,bid,ask,mid,age_s
2026-09-04 03:33:57+00:00,2505.73,2505.88,2505.8050000000003,0.936877489,2505.44,2505.5,2505.4700000000003,1.114094973,2505.78,2505.79,2505.785,1.056351185,2505.43725025,2505.4472497999996,2505.442250025,1.032590866
2026-09-04 03:34:00+00:00,2505.73,2505.88,2505.8050000000003,1.245074511,2505.45,2505.46,2505.455,1.312252998,2505.78,2505.79,2505.785,1.245254993,2505.43725025,2505.4472497999996,2505.442250025,1.232057571
2026-09-04 03:34:03+00:00,2505.73,2505.89,2505.81,1.123675823,2505.61,2505.97,2505.79,1.307145596,2505.78,2505.79,2505.785,1.256946564,2505.63724125,2505.6472408,2505.6422410249997,1.235824585
2026-09-04 03:34:06+00:00,2505.78,2505.89,2505.835,1.246397495,2505.59,2505.65,2505.62,1.305309057,2505.78,2505.79,2505.785,1.253195286,2505.8172331499995,2505.8272327,2505.8222329249998,1.22070837
2026-09-04 03:34:09+00:00,2505.78,2505.89,2505.835,1.210613012,2505.55,2505.56,2505.5550000000003,1.268774986,2505.78,2505.79,2505.785,1.219008923,2505.7272372,2505.7372367499997,2505.732236975,1.196559429
2026-09-04 03:34:12+00:00,2505.81,2505.89,2505.85,1.108100414,2505.55,2505.56,2505.5550000000003,1.291478872,2505.69,2505.7,2505.6949999999997,1.203943491,2505.7272372,2505.7372367499997,2505.732236975,1.203368425
2026-09-04 03:34:15+00:00,2505.81,2505.89,2505.85,1.231228113,2505.63,2505.64,2505.635,1.291676044,2505.79,2505.8,2505.795,1.243474483,2505.8772304499994,2505.88723,2505.8822302249996,1.220987082
2026-09-04 03:34:18+00:00,2505.82,2505.95,2505.885,1.230957031,2505.84,2505.85,2505.8450000000003,1.290675402,2505.79,2505.8,2505.795,1.239187956,2506.0472228,2506.05722235,2506.052222575,1.21767211
2026-09-04 03:34:21+00:00,2505.82,2505.95,2505.885,1.227760077,2505.84,2505.85,2505.8450000000003,1.242191792,2505.79,2505.8,2505.795,1.236944199,2506.0346919999997,2506.0446915,2506.03969175,1.214471817
2026-09-04 03:34:24+00:00,2506.06,2506.18,2506.12,1.097391605,2506.1,2506.11,2506.105,1.281013012,2506.16,2506.17,2506.165,1.231987715,2506.23721425,2506.2472138,2506.242214025,1.16743207
2026-09-04 03:34:27+00:00,2506.06,2506.19,2506.125,1.221092463,2505.81,2505.82,2505.815,1.276582718,2506.07,2506.08,2506.075,1.224365711,2506.1072200999997,2506.1172196499997,2506.112219875,1.198990345
2026-09-04 03:34:30+00:00,2506.06,2506.19,2506.125,1.078854084,2505.99,2506.0,2505.995,1.266778469,2506.07,2506.08,2506.075,1.217030287,2506.1072200999997,2506.1172196499997,2506.112219875,1.196562052
2026-09-04 03:34:33+00:00,2506.06,2506.19,2506.125,1.203824282,2505.93,2505.94,2505.935,1.266501427,2505.99,2506.0,2505.995,1.203531504,2506.1072200999997,2506.1172196499997,2506.112219875,1.193995953
2026-09-04 03:34:36+00:00,2506.06,2506.19,2506.125,1.203644514,2505.93,2505.94,2505.935,1.262782097,2506.11,2506.12,2506.115,1.21269083,2506.25721335,2506.2672129,2506.262213125,1.186839581
2026-09-04 03:34:39+00:00,2506.06,2506.19,2506.125,1.055860281,2505.93,2505.94,2505.935,1.260787964,2506.11,2506.12,2506.115,1.198175907,2506.25721335,2506.2672129,2506.262213125,1.192481995
2026-09-04 03:34:42+00:00,2506.06,2506.19,2506.125,1.174159527,2505.93,2505.94,2505.935,1.232537985,2506.11,2506.12,2506.115,1.175903559,2506.25721335,2506.2672129,2506.262213125,1.156990051
2026-09-04 03:34:45+00:00,2506.06,2506.19,2506.125,1.066366911,2505.88,2505.89,2505.885,1.257240772,2505.88,2505.89,2505.885,1.1670959,2505.97722595,2505.9872254999996,2505.982225725,1.16689229
