year,members,priced,share
2004,493,300,0.6085192697768763
2005,493,301,0.6105476673427992
2006,494,305,0.6174089068825911
2007,494,307,0.6214574898785425
2008,496,324,0.6532258064516129
2009,500,341,0.682
2010,499,351,0.7034068136272545
2011,498,355,0.7128514056224899
2012,497,365,0.7344064386317908
2013,497,378,0.7605633802816901
2014,499,387,0.7755511022044088
2015,501,396,0.7904191616766467
2016,504,419,0.8313492063492064
2017,505,435,0.8613861386138614
2018,504,444,0.8809523809523809
2019,504,449,0.8908730158730159
2020,505,463,0.9168316831683169
2021,505,469,0.9287128712871288
2022,503,475,0.9443339960238568
2023,503,485,0.9642147117296223
2024,503,489,0.9721669980119284
2025,503,492,0.9781312127236581
2026,503,501,0.9960238568588469
