window,model,horizon,accuracy,f1_macro,majority,n
walk_forward_oos,deeplob,5,0.8091358024691359,0.3410311808845474,0.8081481481481482,86400.0
walk_forward_oos,deeplob,10,0.7672839506172839,0.33404062077431723,0.7656712962962963,86400.0
walk_forward_oos,deeplob,30,0.7078973765432099,0.32143445592244774,0.7059375000000001,86400.0
walk_forward_oos,lightgbm,5,0.8079783950617284,0.30932200787084885,0.8081481481481482,86400.0
walk_forward_oos,lightgbm,10,0.7656712962962963,0.3017533815473598,0.7656712962962963,86400.0
walk_forward_oos,lightgbm,30,0.7061651234567901,0.28921990702773276,0.7059375000000001,86400.0
walk_forward_oos,logit-imbalance,5,0.8081481481481482,0.2977246756237876,0.8081481481481482,86400.0
walk_forward_oos,logit-imbalance,10,0.7656712962962963,0.2886651060344627,0.7656712962962963,86400.0
walk_forward_oos,logit-imbalance,30,0.7059375000000001,0.2751162693505196,0.7059375000000001,86400.0
untouched,logit-imbalance,5,0.7541421916143407,0.286613858032532,0.7541421916143407,172795.0
untouched,logit-imbalance,10,0.7016899126106835,0.2748992466883194,0.7016899126106835,172790.0
untouched,logit-imbalance,30,0.6416912658447648,0.26058138100022915,0.6416912658447648,172770.0
untouched,lightgbm,5,0.7541421916143407,0.286613858032532,0.7541421916143407,172795.0
untouched,lightgbm,10,0.7016899126106835,0.2748992466883194,0.7016899126106835,172790.0
untouched,lightgbm,30,0.6416912658447648,0.26058138100022915,0.6416912658447648,172770.0
untouched,deeplob,5,0.7554443126247866,0.3227369952445859,0.7541421916143407,172795.0
untouched,deeplob,10,0.704039585624168,0.3171422980950124,0.7016899126106835,172790.0
untouched,deeplob,30,0.6424668634600914,0.3153188491022715,0.6416912658447648,172770.0
