,deeplob h=10 tau=0.1,logit-imbalance h=10 tau=0.1,lightgbm h=10 tau=0.1,selected
2026-08-30 00:00:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:01:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:02:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:03:00+00:00,-0.0002,0.0,0.0,0.0
2026-08-30 00:04:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:05:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:06:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:07:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:08:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:09:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:10:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:11:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:12:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:13:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:14:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:15:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:16:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:17:00+00:00,5.52613e-05,0.0,0.0,-0.0002979451
2026-08-30 00:18:00+00:00,-0.0012361729,0.0,0.0,-0.0020873741
2026-08-30 00:19:00+00:00,-0.0011972858,0.0,0.0,-0.0005660919
2026-08-30 00:20:00+00:00,-0.0004721542,0.0,0.0,0.0
2026-08-30 00:21:00+00:00,-0.0006980821,0.0,0.0,0.0
2026-08-30 00:22:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:23:00+00:00,-0.0004001278,0.0,0.0,0.0
2026-08-30 00:24:00+00:00,-0.0002,0.0,0.0,0.0
2026-08-30 00:25:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:26:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:27:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:28:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:29:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:30:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:31:00+00:00,-0.0003998722,0.0,0.0,0.0
2026-08-30 00:32:00+00:00,-0.0004936771,0.0,0.0,0.0
2026-08-30 00:33:00+00:00,-0.0001998721,0.0,0.0,0.0
2026-08-30 00:34:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:35:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:36:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:37:00+00:00,-0.0004,0.0,0.0,0.0
2026-08-30 00:38:00+00:00,-0.000358851,0.0,0.0,0.0
2026-08-30 00:39:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:40:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:41:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:42:00+00:00,-0.0003997443,0.0,0.0,0.0
2026-08-30 00:43:00+00:00,-0.0001035827,0.0,0.0,0.0
2026-08-30 00:44:00+00:00,-0.0010958727,0.0,0.0,0.0
2026-08-30 00:45:00+00:00,-0.0004320995,0.0,0.0,0.0
2026-08-30 00:46:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:47:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:48:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:49:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:50:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:51:00+00:00,-0.0001998722,0.0,0.0,0.0
2026-08-30 00:52:00+00:00,-0.0002,0.0,0.0,0.0
2026-08-30 00:53:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:54:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:55:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:56:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:57:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:58:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 00:59:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:00:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:01:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:02:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:03:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:04:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:05:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:06:00+00:00,-0.0002,0.0,0.0,0.0
2026-08-30 01:07:00+00:00,-0.0004,0.0,0.0,0.0
2026-08-30 01:08:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:09:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:10:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:11:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:12:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:13:00+00:00,-0.0002,0.0,0.0,0.0
2026-08-30 01:14:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:15:00+00:00,0.0,0.0,0.0,0.0
2026-08-30 01:16:00+00:00,-0.0009165371,0.0,0.0,-0.0005025628
