,total_bps,gross_bps,hours,bps_per_day,sharpe_daily,trades,bps_per_trade,in_market,n_obs
logit-imbalance h=5 tau=0.1,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
logit-imbalance h=5 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
logit-imbalance h=10 tau=0.1,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
logit-imbalance h=10 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
logit-imbalance h=30 tau=0.1,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
logit-imbalance h=30 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
lightgbm h=5 tau=0.1,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
lightgbm h=5 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
lightgbm h=10 tau=0.1,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
lightgbm h=10 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
lightgbm h=30 tau=0.1,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
lightgbm h=30 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
deeplob h=5 tau=0.1,-34209.55103381736,5068.448966182637,48.0,-17104.77551690868,-107.81475371747183,37907.0,-0.9024599950884366,0.27523726851851854,172800.0
deeplob h=5 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
deeplob h=10 tau=0.1,-32430.488362228192,4871.511637771808,48.0,-16215.244181114096,-104.91625347363843,36236.0,-0.8949798090911854,0.28421875,172800.0
deeplob h=10 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
deeplob h=30 tau=0.1,-17180.231290222368,1637.7687097776325,48.0,-8590.115645111184,-85.35737701755741,18781.0,-0.9147665880529454,0.07913194444444445,172800.0
deeplob h=30 tau=0.3,0.0,0.0,48.0,0.0,,0.0,,0.0,172800.0
