,total_bps,gross_bps,hours,bps_per_day,sharpe_daily,trades,bps_per_trade,in_market,n_obs
logit-imbalance h=5 tau=0.1,0.0,0.0,72.0,0.0,,0.0,,0.0,259200.0
logit-imbalance h=5 tau=0.3,0.0,0.0,72.0,0.0,,0.0,,0.0,259200.0
logit-imbalance h=10 tau=0.1,0.0,0.0,72.0,0.0,,0.0,,0.0,259200.0
logit-imbalance h=10 tau=0.3,0.0,0.0,72.0,0.0,,0.0,,0.0,259200.0
logit-imbalance h=30 tau=0.1,0.0,0.0,72.0,0.0,,0.0,,0.0,259200.0
logit-imbalance h=30 tau=0.3,0.0,0.0,72.0,0.0,,0.0,,0.0,259200.0
lightgbm h=5 tau=0.1,-30565.272486356873,3618.727513643127,72.0,-10188.424162118958,-87.78456759042382,33499.0,-0.912423430142896,0.11655478395061729,259200.0
lightgbm h=5 tau=0.3,-727.9728900733728,88.02710992662719,72.0,-242.6576300244576,-13.596911775142585,815.0,-0.8932182700286783,0.0016512345679012346,259200.0
lightgbm h=10 tau=0.1,-32010.329902489404,3617.670097510596,72.0,-10670.109967496468,-90.76799263238163,34981.0,-0.9150776107741175,0.12104938271604938,259200.0
lightgbm h=10 tau=0.3,-417.2168973460509,14.783102653949072,72.0,-139.07229911535032,-10.328108323476952,432.0,-0.9657798549677105,0.0008487654320987654,259200.0
lightgbm h=30 tau=0.1,-24432.989969136783,2143.0100308632173,72.0,-8144.329989712261,-80.93162328771882,26433.0,-0.9243366235061016,0.07792824074074074,259200.0
lightgbm h=30 tau=0.3,-23.559130685330416,10.440869314669584,72.0,-7.853043561776805,-2.009400773065109,34.0,-0.6929156083920711,6.944444444444444e-05,259200.0
deeplob h=5 tau=0.1,-33808.24525855452,5755.754741445482,72.0,-11269.41508618484,-80.269975084584,37925.0,-0.8914501056968891,0.22500385802469136,259200.0
deeplob h=5 tau=0.3,-775.9022416488529,82.09775835114715,72.0,-258.63408054961764,-13.399133140086539,858.0,-0.904314966956705,0.002052469135802469,259200.0
deeplob h=10 tau=0.1,-32450.733703440525,5651.266296559475,72.0,-10816.911234480174,-79.53079689716581,36749.0,-0.8830371902212448,0.22125385802469136,259200.0
deeplob h=10 tau=0.3,-68.8183159446018,9.181684055398193,72.0,-22.939438648200603,-3.3461333300976874,78.0,-0.8822861018538694,0.00015817901234567902,259200.0
deeplob h=30 tau=0.1,-20560.964203221563,3305.0357967784366,72.0,-6853.654734407188,-62.31481216281547,23615.0,-0.8706739023172375,0.13779706790123455,259200.0
deeplob h=30 tau=0.3,-2.0,0.0,72.0,-0.6666666666666666,-0.8164981559703447,2.0,-1.0,3.858024691358025e-06,259200.0
