,mean,sd,sign_consistency,selection_frequency,relative_dispersion,ci_low,ci_high
log_carat,0.872558743744112,0.06271584057677544,1.0,1.0,0.07187578031441696,0.7445241143956486,0.9833648402415761
log_carat_sq,0.02556983932790013,0.0023397482600852897,1.0,1.0,0.09150422222373177,0.02092467059081361,0.02986251683054878
log_volume,0.18989585340905973,0.06170134276840412,1.0,1.0,0.32492201204357846,0.07929073321548828,0.3147177666685191
aspect_xy,0.011061516334915767,0.0016919616905004234,1.0,1.0,0.15295929050520246,0.007961538735818492,0.014715150399454936
depth_c,-0.0044969091861393334,0.0016815561528371644,0.998,1.0,0.3739359820785722,-0.007858323625257565,-0.0009902637358410009
depth_c_sq,-0.011476925796795651,0.0022838872018064917,1.0,1.0,0.19899816747479115,-0.016004772357328983,-0.007418126279628839
table_c,0.008201840875340309,0.0057070560272255415,0.938,1.0,0.695826231448162,-0.0015910072834368241,0.019743787092939995
table_c_sq,-0.007771164823659001,0.0018932412280901103,1.0,1.0,0.24362386734176747,-0.011837637812906528,-0.005118684209939075
cut_score,0.05671512541338112,0.010391651989384331,1.0,1.0,0.18322540792500072,0.035827621099221156,0.07529492858023228
cut_score_sq,-0.03312091446189825,0.009624148124033071,0.998,1.0,0.2905761595171091,-0.0508737677750936,-0.014022149725173794
color_score,0.27156005182605353,0.0044620074370781805,1.0,1.0,0.016431015560183712,0.26287939542992955,0.280599064046633
color_score_sq,-0.13977766737833977,0.004537871107969587,1.0,1.0,0.0324649222803727,-0.1492911587376094,-0.1312216265896387
clarity_score,0.36709204405165347,0.0053537807195204274,1.0,1.0,0.014584300603276212,0.35696959495513353,0.37715159331575576
clarity_score_sq,-0.1641540500631502,0.005398197433451278,1.0,1.0,0.03288494820185421,-0.17456091788311695,-0.1541276645693889
carat_x_cut,0.0003073103899819409,0.0043581233709677515,0.526,1.0,14.181503499520003,-0.00836084103720742,0.008569329316160904
carat_x_color,0.018812753350848612,0.0030607641454337238,1.0,1.0,0.16269623527997074,0.01266901006638762,0.024429299820991224
carat_x_clarity,0.0322282912026312,0.0036684690746159364,1.0,1.0,0.11382760108349874,0.024923618404537048,0.0391658668751865
table_x_cut,-0.007548977046754382,0.005308474135626955,0.942,1.0,0.7032044345543861,-0.01833525075188955,0.0015000076509683513
