,estimate,hc3_se,t,p,ci_low,ci_high,p_holm,p_bh
log_carat,1.1929210195187172,0.1857471240145122,6.4222852754668525,1.3424353781587322e-10,0.8288633462183783,1.556978692819056,1.6109224537904787e-09,4.295793210107943e-10
log_carat_sq,0.043145131105360036,0.007573257322966323,5.6970375183898785,1.2190710829342049e-08,0.02830181950669182,0.057988442704028254,1.3409781912276254e-07,3.2508562211578794e-08
log_volume,0.6545440097038115,0.18608687936583496,3.5174108563399558,0.0004357786955564221,0.2898204281513253,1.0192675912562978,0.0034862295644513767,0.0007747176809891948
aspect_xy,0.9656535736992122,0.2972593717018548,3.2485218823235065,0.0011600628569567405,0.383035911096572,1.5482712363018525,0.008120439998697184,0.0018561005711307849
depth_c,0.0016537490810498816,0.004627336248611529,0.357386840333054,0.7208022270361236,-0.007415663310585397,0.01072316147268516,1.0,0.7208022270361236
depth_c_sq,-0.0013692199443334097,0.0023205350691666146,-0.5900449265027244,0.5551605299926852,-0.005917385104762137,0.0031789452160953177,1.0,0.6297227973692088
table_c,0.0006938929840086608,0.0012890283605707228,0.5383069955896368,0.5903651225336333,-0.0018325561777606668,0.0032203421457779884,1.0,0.6297227973692088
table_c_sq,-0.0002689238389284804,0.00045987363489130925,-0.5847776835304775,0.5586972117826651,-0.0011702596007549689,0.0006324119228980081,1.0,0.6297227973692088
cut_score,0.06398446198874297,0.03588441902800357,1.7830708625604503,0.07457476881767056,-0.006347706912287851,0.1343166308897738,0.44744861290602334,0.1084723910075208
cut_score_sq,-0.0056618752666926855,0.004291935372843744,-1.3191893108449229,0.18710583092986244,-0.014073914021439912,0.002750163488054541,0.9355291546493122,0.24947444123981657
color_score,0.16789122811487028,0.004396883966310979,38.18413890410949,0.0,0.15927349389669915,0.17650896233304142,0.0,0.0
color_score_sq,-0.010137623792807523,0.0005169556399054485,-19.610239274421495,1.2643571831733949e-85,-0.01115083822862706,-0.009124409356987986,1.7701000564427529e-84,6.743238310258106e-85
clarity_score,0.22338679212493062,0.005801917060657151,38.502238103284576,0.0,0.2120152436447541,0.23475834060510714,0.0,0.0
clarity_score_sq,-0.010926160701491773,0.0006833674524349759,-15.988705143271986,1.5318192633275722e-57,-0.012265536296471214,-0.009586785106512332,1.991365042325844e-56,6.127277053310289e-57
carat_x_color,0.007742032166911102,0.0018748244034343202,4.12947055347113,3.6359956551892906e-05,0.004067443858843042,0.011416620474979162,0.00036359956551892903,8.310847211861236e-05
carat_x_clarity,0.009792683184431989,0.0024200036997870764,4.046557112823256,5.197644762899998e-05,0.005049563090395638,0.014535803278468339,0.0004677880286609998,0.00010395289525799996
