model,,rmse,mae,medae,r2,fold,alpha,l1_ratio
ridge,0,883.323654364844,428.0062070543602,177.70996514315175,0.9507350254904232,0,1.0,
ridge,1,977.9557373733142,424.4705873858067,174.89377340722694,0.9385700740494762,1,2.154434690031882,
ridge,2,869.4897046599776,419.3602988018691,179.24701205467022,0.9525740793809847,2,2.154434690031882,
ridge,3,888.2085995634478,419.76262317915393,179.81750681731376,0.9508911511998774,3,0.21544346900318823,
ridge,4,997.2405555652679,430.20215792400245,173.3886158993231,0.936826908807469,4,4.641588833612772,
lasso,0,882.2739997998548,427.80146685269153,175.8166974676633,0.9508520391827178,0,0.00011006941712522103,
lasso,1,976.2364979380591,424.31113082250357,174.54370037819263,0.9387858709693626,1,0.00011006941712522103,
lasso,2,869.1952077794748,419.0685942862853,179.27030347294112,0.9526062003372686,2,1e-06,
lasso,3,887.6695661124337,419.93457398385556,179.42190534680293,0.9509507391836924,3,5.623413251903491e-05,
lasso,4,996.993922313305,429.5867412771316,173.71964351289694,0.9368581523387689,4,5.623413251903491e-05,
elastic_net,0,882.4556433642528,427.8423585236211,176.55385418639162,0.9508317998244674,0,0.0001,0.9
elastic_net,1,975.5428654560443,425.35222255355575,173.3665184292031,0.9388728274067266,1,0.00031622776601683794,0.5
elastic_net,2,869.276654463056,419.9195626073705,178.51090252822326,0.9525973179858214,2,0.00031622776601683794,0.1
elastic_net,3,887.7358424915805,420.1598676492862,179.4111352883133,0.9509434145464876,3,0.0001,0.7
elastic_net,4,998.0277659228835,431.0016320854874,173.15779401364148,0.9367271332021108,4,0.00031622776601683794,0.3
