,variable,grade,n,mean_price,mean_carat
0,cut,Fair,806,4452.803970223325,1.0616004962779155
1,cut,Good,2657,3923.4855099736546,0.8482875423409861
2,cut,Very Good,6358,3977.211387228688,0.8052658068575023
3,cut,Premium,7148,4600.506994963626,0.8937870733072186
4,cut,Ideal,11264,3435.1774680397725,0.6998579545454545
5,color,J,1439,5412.042390548992,1.180542043085476
6,color,I,2819,5128.50549840369,1.0322064561901383
7,color,H,4314,4463.779323133982,0.9088409828465461
8,color,G,5901,4034.795627859685,0.7731418403660397
9,color,F,5025,3706.051144278607,0.7332696517412935
10,color,E,5174,3039.3304986470816,0.6550425202937766
11,color,D,3561,3150.6239820275205,0.6559702330805953
12,clarity,I1,380,3978.4131578947367,1.2930263157894737
13,clarity,SI2,4870,5010.985626283367,1.0709301848049282
14,clarity,SI1,6792,3981.7158421672557,0.8509231448763251
15,clarity,VS2,6323,3920.7782698086353,0.764494701882018
16,clarity,VS1,4323,3845.414989590562,0.7246911866759196
17,clarity,VVS2,2647,3336.7778617302606,0.5977181715149226
18,clarity,VVS1,1946,2559.1783144912642,0.5063103802672149
19,clarity,IF,952,2828.2573529411766,0.5052415966386554
