band,Fair,Good,Very Good,Premium,Ideal,variable,J,I,H,G,F,E,D,I1,SI2,SI1,VS2,VS1,VVS2,VVS1,IF
Q1,6.701222338197074,6.341129005126428,6.367547014028062,6.544158389145503,6.57389943090599,cut,,,,,,,,,,,,,,,
Q2,7.039955588001414,6.943879519063567,7.002661877977577,7.008125103396167,7.096004650952936,cut,,,,,,,,,,,,,,,
Q3,7.677580449471915,7.862498834668483,7.863816480476885,7.808942890118297,7.845826834352676,cut,,,,,,,,,,,,,,,
Q4,8.246057367243603,8.460954431505616,8.56142778974974,8.517057848518856,8.654443082968614,cut,,,,,,,,,,,,,,,
Q5,8.926416623698218,9.094694406667056,9.14942377628665,9.14316774705603,9.167750520658315,cut,,,,,,,,,,,,,,,
Q1,,,,,,color,6.107894895752576,6.279870139293257,6.42005127442501,6.5473885060215515,6.559121746309856,6.554100974599447,6.565183452674731,,,,,,,,
Q2,,,,,,color,6.653015699320808,6.7897682165430115,6.949580077497718,7.074988014898849,7.071968500290064,7.078452635948214,7.130157743044957,,,,,,,,
Q3,,,,,,color,7.556518476017813,7.737915581426355,7.808337346272318,7.810758282351005,7.860391463578575,7.885574560937968,7.949345449080904,,,,,,,,
Q4,,,,,,color,8.219512268472542,8.321659572232852,8.437781774456592,8.621231297763538,8.6143054443053,8.604273641366,8.655874622190566,,,,,,,,
Q5,,,,,,color,8.978867873515398,9.10556223385114,9.09778150814366,9.213517659487286,9.234063744994765,9.233903312211586,9.182430652444275,,,,,,,,
Q1,,,,,,clarity,,,,,,,,6.001831121932618,6.197841527728,6.332587644286738,6.503654508899049,6.460890038274379,6.538327379816114,6.66703204468238,6.782057098483153
Q2,,,,,,clarity,,,,,,,,6.563466816584713,6.798489635635995,6.888848801155062,7.077832580515618,7.063163323969392,7.223758523879124,7.227260925718507,7.2482652557427345
Q3,,,,,,clarity,,,,,,,,7.15116685743613,7.7361784095081205,7.794200846075486,7.8504059683149805,7.929368383412262,7.963441570175431,8.007006074541222,8.061970570609821
Q4,,,,,,clarity,,,,,,,,7.919862635368754,8.323266379085661,8.470255696625756,8.662368209878895,8.76716282752931,9.009003794001043,9.079969534458666,9.246107316057458
Q5,,,,,,clarity,,,,,,,,8.60001474284306,9.066658884692158,9.105368230945041,9.218080987900414,9.232587389806838,9.326233785947878,9.372887530858915,9.402325375230816
