,dimension,group,n,rmse,mae,mean_error
0,carat quintile,0,3329,105.15331990492469,77.4579272200928,28.873552104470853
1,carat quintile,1,3141,161.76270326663627,120.12571732757041,-56.93128866098973
2,carat quintile,2,3545,328.20464381408624,246.89886011269763,-74.3662717283707
3,carat quintile,3,2927,855.1978355667436,579.8042557960215,363.14856061900997
4,carat quintile,4,3190,1679.8963702569763,1101.0642276189985,-295.79549133823616
5,price decile,0,1620,70.61081674489014,57.66967272295931,-24.443741233748987
6,price decile,1,1608,113.35495341283182,92.94088518011857,-20.08752058470218
7,price decile,2,1616,151.73786053829866,125.63521895203371,-3.9112987504657792
8,price decile,3,1609,165.44893231683145,126.44715138940265,-80.56206986777067
9,price decile,4,1617,275.36964480070935,193.68919991956776,-78.15017490089296
10,price decile,5,1612,389.1601630724953,290.4299363771772,-97.22345288050326
11,price decile,6,1611,541.4291460304089,399.94262769467514,27.599134626374983
12,price decile,7,1613,770.41452558058,540.5335288122377,23.9989419888872
13,price decile,8,1612,1201.625345457506,838.8574090886581,75.8091116587714
14,price decile,9,1614,2142.6750878862963,1499.8526231825724,36.294633337850115
15,cut,Fair,509,1290.8175702147273,661.9068900266518,-279.8839708650074
16,cut,Good,1386,829.8580463415685,421.1364344857555,31.328453422704893
17,cut,Ideal,6483,763.2740769220011,365.6257409619155,41.79642175740448
18,cut,Premium,4144,999.3647534262452,497.6930306190849,-156.9598435613115
19,cut,Very Good,3610,730.3601450369861,378.53557257569315,69.67694120461236
20,color,D,1990,863.6973371239836,371.50789415070807,40.0908364897181
21,color,E,2957,597.0441124461081,313.74518998386066,-5.191996724500633
22,color,F,2872,726.6706972505896,382.59566061999834,65.95577578695038
23,color,G,3335,723.6869213828041,363.3985032948837,24.784768002391893
24,color,H,2491,1055.7685408566535,519.2374561616608,-84.37445211305054
25,color,I,1623,1065.692037613212,545.5220434979026,-85.65377733559919
26,color,J,864,1189.4412374313918,651.9837476083455,-248.03092044165896
27,clarity,I1,244,2844.9572010140146,1432.342895286428,-1369.0684441939406
28,clarity,IF,560,1143.6015818777964,447.09535196219133,137.57429005037932
29,clarity,SI1,3951,641.5326705996091,345.19013792069705,45.08295759970712
30,clarity,SI2,2649,1050.8327835404189,578.4223900161521,-18.865012972631035
31,clarity,VS1,2432,750.7316378675812,388.4135459918978,-155.30451898087415
32,clarity,VS2,3689,669.1400469559406,361.097040011907,52.20578721513533
33,clarity,VVS1,1087,725.0463034015951,338.75917559668846,24.713844121342802
34,clarity,VVS2,1520,721.6367802362154,380.93326434517337,39.55914997732054
