,weight,implied 30d,implied 60d,realised 21d,realised 63d,implied/realised 21d
AAPL,0.1863208099603938,0.24449767614227244,0.24275788594334624,0.1828232067445245,0.3179356586467774,1.3373448617162222
MSFT,0.1473433602578474,0.2414326859779447,0.24507740696779962,0.21214947649946708,0.4177412510526177,1.1380310239820515
NVDA,0.214577509550209,0.33367996620360574,0.3389493540958805,0.44404628029237764,0.4226965422792473,0.7514531277773516
AMZN,0.1086262902540318,0.2921026660517154,0.29805184838406784,0.25947573764619963,0.42560308988755924,1.1257417310053215
META,0.0605144104702453,0.35186620497203747,0.35436016238659906,0.2968927064180374,0.4586218377420126,1.185162846259332
GOOGL,0.1629255566956919,0.2734898983742669,0.2826963479480014,0.25041046230570896,0.36361110288229054,1.092166420907693
BRK-B,0.0423118961774929,0.13620492989916175,0.14079820281979696,0.1498234383864874,0.15063514986247223,0.9091029505530698
JPM,0.0374365484591184,0.20024771999577257,0.23576736608974977,0.12255533053979913,0.2095227320759182,1.6339372519642734
XOM,0.0259448573769001,0.2767624993690675,0.2738664810495856,0.2648740961456282,0.25825667677073505,1.0448832233745615
UNH,0.0139987607980689,0.2548281691374213,0.32073408754708543,0.20205213016556894,0.25232985412799946,1.2612001117167422
SPY,,0.11731609870911815,0.1279016404729028,0.07065499806266871,0.13629636146652302,1.6604076417221403
