,,mean,median,std,share > 0
full,implied k=1,0.279211316534597,0.21412397522146165,0.29927038705884457,0.8787878787878788
full,implied k=snapshot,0.07789742643752176,0.03541823214200749,0.213374128921955,0.610936955764542
full,realised 21d,0.055383395320162586,0.03518388549780916,0.1885742477929402,0.5924764890282131
full,realised 63d,0.059813741256968124,0.04249463034574885,0.15789223110524642,0.6913967258794845
full,pairwise 21d,0.35830981895292036,0.332528915746038,0.189419581878707,0.991292232671543
full,gap k=1 vs 21d,0.22382792121443448,0.1767641460435868,0.2858776016120343,0.8530128874956461
full,gap k=snapshot vs 21d,0.022514031117359178,0.008310323943363108,0.2053518017506623,0.5245559038662487
full,gap k=snapshot vs 63d,0.018083685180553637,-0.008855857134062811,0.20619879007680778,0.47474747474747475
formation,implied k=1,0.29407986477443915,0.21446873406411618,0.3273367957466723,0.8763812154696132
formation,implied k=snapshot,0.07765055690487825,0.024608842818852346,0.23504237593729557,0.5759668508287292
formation,realised 21d,0.06960146695177082,0.02818722748882985,0.22881983991705343,0.5593922651933702
formation,realised 63d,0.07341082602005893,0.054054814301979025,0.1965749543998636,0.6968232044198895
formation,pairwise 21d,0.4202705689091209,0.39712931988903133,0.18295290829653046,1.0
formation,gap k=1 vs 21d,0.22447839782266837,0.1860984024120599,0.306058735261495,0.8314917127071824
formation,gap k=snapshot vs 21d,0.008049089953107439,0.00568081808969631,0.2188877895172396,0.5227900552486188
formation,gap k=snapshot vs 63d,0.0042397308848193226,-0.012438665392476848,0.21730893838284973,0.462707182320442
test,implied k=1,0.2640815499490093,0.21304151165877935,0.2669752053602257,0.8812368236120871
test,implied k=snapshot,0.07814863310179991,0.045432385744963485,0.1888734723485376,0.6465214335910049
test,realised 21d,0.04091553325229981,0.037795002388628304,0.13444827132568624,0.6261419536191145
test,realised 63d,0.045977775876113965,0.030565819503134372,0.10302833553196708,0.6858749121574139
test,pairwise 21d,0.29526051049432683,0.27880108973757667,0.17455089717956385,0.9824314827828531
test,gap k=1 vs 21d,0.22316601669670952,0.16987432726651128,0.26386860350894376,0.8749121574139143
test,gap k=snapshot vs 21d,0.0372330998495001,0.011557230384416972,0.1895407444586875,0.5263527758257203
test,gap k=snapshot vs 63d,0.03217085722568593,-0.003919996959372847,0.19330322827358296,0.4869992972593113
