,months,mean (vol pts/month),std,Sharpe,total,hit rate,skew,5th pct month,1st pct month,worst month,max drawdown,drawdown peak,drawdown trough
"always on, cap weights | formation | gross",70,-2.53,9.94,-0.88,-176.8,36%,-0.91,-16.75,-30.99,-44.64 (2020-04-01),-189.68,2015-04-01,2020-06-01
"always on, cap weights | formation | net",70,-3.73,9.94,-1.30,-260.8,31%,-0.91,-17.95,-32.19,-45.84 (2020-04-01),-264.08,2015-04-01,2020-06-01
"always on, cap weights | test | gross",68,-1.47,8.70,-0.58,-99.8,49%,-0.78,-16.65,-24.82,-34.17 (2025-05-01),-159.88,2022-02-01,2025-06-02
"always on, cap weights | test | net",68,-2.67,8.70,-1.06,-181.4,43%,-0.78,-17.85,-26.02,-35.37 (2025-05-01),-219.23,2021-12-01,2026-08-03
"always on, equal weights | formation | gross",70,-2.29,8.78,-0.90,-160.6,39%,-1.29,-13.86,-24.33,-44.66 (2020-04-01),-170.08,2015-04-01,2020-06-01
"always on, equal weights | formation | net",70,-3.49,8.78,-1.38,-244.6,33%,-1.29,-15.06,-25.53,-45.86 (2020-04-01),-244.48,2015-04-01,2020-06-01
"always on, equal weights | test | gross",68,-1.15,7.63,-0.52,-78.3,47%,-0.64,-13.14,-21.20,-29.45 (2025-05-01),-136.79,2022-02-01,2025-06-02
"always on, equal weights | test | net",68,-2.35,7.63,-1.07,-159.9,40%,-0.64,-14.34,-22.40,-30.65 (2025-05-01),-195.78,2022-02-01,2026-08-03
"always on, k=1, raw VIX | formation | gross",70,+2.77,9.09,1.06,+193.9,64%,-0.52,-10.52,-22.43,-32.32 (2020-04-01),-40.21,2020-02-03,2020-05-01
"always on, k=1, raw VIX | formation | net",70,+1.57,9.09,0.60,+109.9,63%,-0.52,-11.72,-23.63,-33.52 (2020-04-01),-43.81,2020-02-03,2020-05-01
"always on, k=1, raw VIX | test | gross",68,+4.17,8.13,1.78,+283.4,72%,-0.65,-9.68,-17.04,-25.40 (2025-05-01),-27.29,2025-04-01,2025-06-02
"always on, k=1, raw VIX | test | net",68,+2.97,8.13,1.26,+201.8,71%,-0.65,-10.88,-18.24,-26.60 (2025-05-01),-29.72,2025-01-02,2025-06-02
"always on, 63d proxy | formation | gross",68,-3.58,10.41,-1.19,-243.2,34%,-1.11,-18.16,-39.43,-43.85 (2020-06-01),-252.28,2015-05-01,2020-06-01
"always on, 63d proxy | formation | net",68,-4.78,10.41,-1.59,-324.8,28%,-1.11,-19.36,-40.63,-45.05 (2020-06-01),-325.48,2015-05-01,2020-06-01
"always on, 63d proxy | test | gross",68,-2.23,7.72,-1.00,-151.7,37%,-0.26,-14.98,-21.69,-23.54 (2025-06-02),-215.67,2022-03-01,2025-07-01
"always on, 63d proxy | test | net",68,-3.43,7.72,-1.54,-233.3,28%,-0.26,-16.18,-22.89,-24.74 (2025-06-02),-266.27,2022-03-01,2026-08-03
correlation-weighted | formation | gross,70,-0.02,6.86,-0.01,-1.1,59%,-0.91,-10.54,-21.11,-28.73 (2020-03-02),-65.10,2017-12-01,2020-06-01
correlation-weighted | formation | net,70,-0.71,6.80,-0.36,-49.6,53%,-0.97,-11.26,-21.62,-29.58 (2020-03-02),-86.51,2017-12-01,2020-06-01
correlation-weighted | test | gross,68,+0.91,5.38,0.59,+62.1,60%,-0.02,-6.16,-12.88,-18.77 (2025-04-01),-37.60,2021-12-01,2025-05-01
correlation-weighted | test | net,68,+0.21,5.29,0.14,+14.1,54%,-0.10,-6.81,-13.56,-19.51 (2025-04-01),-64.58,2021-12-01,2025-06-02
conditional on gap | formation | gross,70,+1.33,5.34,0.86,+92.9,30%,+1.70,-6.28,-8.93,-12.25 (2015-09-01),-12.25,2015-07-01,2015-09-01
conditional on gap | formation | net,70,+0.73,5.23,0.48,+50.9,26%,+1.47,-7.48,-10.13,-13.45 (2015-09-01),-19.18,2016-11-01,2018-06-01
conditional on gap | test | gross,68,+1.29,4.89,0.91,+87.6,34%,+0.98,-4.07,-10.19,-12.23 (2023-11-01),-21.42,2023-10-02,2024-08-01
conditional on gap | test | net,68,+0.69,4.77,0.50,+46.8,28%,+0.68,-5.27,-11.39,-13.43 (2023-11-01),-23.82,2023-10-02,2024-08-01
