feature,fold 1,fold 2,fold 3,fold 4,fold 5
ret_1,0.044707927007381236,0.04575363117133452,0.04509252868000492,0.03521778705525702,0.033833538843839925
ret_21,0.0593987331299467,0.049137575244723,0.048461610963480124,0.052886840486197934,0.04610520740645091
mom_3_1,0.052561609007257766,0.04882056200247477,0.04773032398478819,0.05241519404882902,0.05354774152228279
mom_6_1,0.08113978420857122,0.07257450187141126,0.06519040756731768,0.06335675813670442,0.06727747064855855
mom_12_1,0.11938301991829067,0.11658929261382704,0.11531251026152291,0.10614260191121234,0.10046741084206338
vol_21,0.06823498426032355,0.05700003524178622,0.0645485644863683,0.0531278721281303,0.050972095190889286
vol_63,0.07949892485036905,0.09182309111942645,0.08669718363114007,0.07840237107764614,0.08471037196183008
dollar_vol_21,0.05308084234318165,0.04646426887467797,0.0427998315218172,0.043446489445897685,0.039780633904886085
amihud_21,0.028059550737231286,0.02273954915095271,0.02671284523761758,0.026725408842325566,0.02394620716619
hl_range_21,0.06961680730720429,0.06581308505286704,0.06345918706254107,0.06311888767723392,0.05617103856000158
VIXCLS,0.17469742133700158,0.19134234999659283,0.18754603429052252,0.20183717459524092,0.19123550658068686
T10Y3M,0.07830583415282685,0.0857876510138208,0.10173562623891151,0.09974021953380091,0.11662316977766987
DGS10,0.09131456174041414,0.10615440664610538,0.10471334607396794,0.12358239506152381,0.13532960759465068
