,fold 1,fold 2,fold 3,fold 4,fold 5
ret_1,-0.010174057410494812,-0.0034733923398402623,-0.0015017465041187916,-0.0019685463210504777,-0.0022544950733800234
ret_21,0.0037863106310839626,0.001920785987036888,0.001091513415812312,0.0008971703193965275,-0.001605350267323651
mom_3_1,-0.003875913224485845,-0.004537262447919964,-0.0027973136782514776,-0.002695953528039182,-0.0009867263550814639
mom_6_1,-0.008710813014966566,-0.009032267529493371,-0.00657143683932884,-0.0028660756089809833,-0.0018122338641506195
mom_12_1,-0.012865633301811246,-0.003189328649748488,-0.0002547911681316353,-0.0029157779519295335,-0.004694281572437687
vol_21,-0.0017735466758082375,0.004690521290013709,0.0070710796184852275,0.0019097440894016258,0.0036714772454737583
vol_63,9.288883213632597e-05,0.0015735403596761216,-0.0002391019637103938,0.0023945635977105414,-0.0003964820127563335
dollar_vol_21,-0.043565412899741744,-0.029606368333351153,-0.02648913669476192,-0.016071371194111988,-0.012112879262182725
amihud_21,-0.032773479842166386,-0.02176685346316149,-0.02136582894186758,-0.013151182248608782,-0.01101262135794714
hl_range_21,0.022433931743739383,0.013224876677882478,0.006723820801785917,0.004475324744718381,0.004172194592319864
