,BTCUSDT,ETHUSDT
periods,7211.0,7211.0
mean 8h,0.00010830533906531687,0.00012834645264179725
median 8h,9.425e-05,0.0001
std 8h,0.00021093369235619723,0.0002751254074621009
annualised (simple),0.11859434627652198,0.14053936564276798
annualised (compound),0.12587846044613893,0.15083635940998552
share negative,0.14283733185411177,0.13937040632367217
1st pctile,-0.00016972099999999998,-0.000164056
99th pctile,0.001062195,0.001356857999999999
at the 0.75% cap,0.0,0.0
at the 0.01% floor,0.34114547219525726,0.3425322424074331
