,gross,net
total_return,0.7296499196313695,0.7024372700229737
annual_return,0.08676157066367463,0.08414771436045188
annual_vol,0.010273968060794903,0.010308706247196845
sharpe,8.103796587835697,7.8596107489459905
max_drawdown,-0.011298361688761749,-0.01130254210230175
funding_collected,0.7330426540565471,0.7278792844749924
price_pnl,-0.003392734425181263,-0.0033756667323831193
fees_paid,0.0,0.022066347719639216
skew,1.7314729438788332,1.6932589042300668
excess_kurtosis,543.3467075493068,536.9023371841666
worst_8h,-0.011298361688761749,-0.01130254210230175
q01,-0.00040796622473801005,-0.0004188516784573881
normal_q01,-0.0006461375216114429,-0.0006506210814795771
sharpe_over_cash,5.319509351477233,5.087481163415603
