,gross,net
total_return,0.9233352849706491,0.8861342434980313
annual_return,0.10441966698721106,0.1011489476499261
annual_vol,0.011553919166731985,0.011574606195589324
sharpe,8.602379965217548,8.345638607957824
max_drawdown,-0.012034730699482576,-0.01216752092731499
funding_collected,0.9302594281578438,0.9231594474681392
price_pnl,-0.006924143187192511,-0.006884920777198798
fees_paid,0.0,0.030140283192908592
skew,2.6979625498563027,2.607440135100471
excess_kurtosis,51.84866535478034,50.97036896378512
worst_8h,-0.004492921330079724,-0.004494393769121197
q01,-0.0005424776624107563,-0.0005687146917133235
normal_q01,-0.0007213737875923392,-0.0007253792540219094
sharpe_over_cash,6.107602888546905,5.858470261400327
