,USD ranked,dollar neutral
annual return (gross),+2.62%,+2.56%
annual return (net),+2.56%,+2.50%
annual vol,8.25%,8.12%
Sharpe (gross),0.35,0.35
Sharpe (net),0.35,0.34
skew (monthly),-0.53,-0.63
skew (daily),-0.92,-0.91
excess kurtosis (monthly),2.57,2.88
max drawdown (net),-31.68%,-30.55%
drawdown peak,2007-07-25,2007-07-25
drawdown trough,2009-02-02,2009-02-02
drawdown recovered,2024-05-16,2013-02-14
worst month,-10.68% (2008-10),-10.68% (2008-10)
hit rate (monthly),58.4%,55.3%
annual turnover,0.62x,0.55x
cost drag (annual),0.062%,0.055%
months,291,291
