,slope,se,alpha_monthly,n,t_vs_uip,t_vs_zero
EUR,-0.07414530314246184,1.7028649756469143,0.0008560625290968133,290.0,-0.6307871255232064,-0.043541504583646876
JPY,0.5352636796981238,1.063621348903136,-0.0015851805556699545,290.0,-0.43693775118479655,0.5032464610174633
GBP,0.5195272518159552,2.09899515152629,-0.00014029334978311062,290.0,-0.22890607814633004,0.24751236392241283
CAD,0.07223318325798672,2.4921881424714347,0.00033354283568291933,290.0,-0.37226997469860856,0.028983840355790737
AUD,-0.19153022277035855,1.451967622605396,0.0006154550661851985,290.0,-0.8206313999153018,-0.1319108083324053
NZD,-0.16434893745306298,1.6083587025084456,0.0005593611976493855,290.0,-0.7239361068131808,-0.10218425603488782
CHF,0.08851965868856426,1.1601366493013796,0.0022703527454212996,290.0,-0.7856663625447211,0.07630106224285711
NOK,0.15724413649251173,1.6929455253543155,-0.00047046775376742697,290.0,-0.4978044779858516,0.09288198240141378
SEK,-0.5024382012764033,1.5948675888722927,0.00046662339023578026,290.0,-0.9420457295384347,-0.3150344296805667
pooled,0.053530401585746984,0.6705352494383463,0.0004158048757511092,2610.0,-1.411513562049176,0.07983234532499986
