,static,Kalman,diff
BDX/ISRG,0.3467610914850402,0.44876570772225427,0.10200461623721407
AMT/CCI,0.023346000335052873,0.2931802131522995,0.2698342128172466
ETN/RTX,0.043952206176200506,-0.26563580089454836,-0.30958800707074885
NOC/UPS,0.08294397443740163,-0.06509069588222047,-0.14803467031962209
ACN/MSFT,-0.24668188846547456,-0.17367669854852855,0.07300518991694602
AEP/WEC,-0.0513593951660678,-0.10244792745354978,-0.051088532287481975
HSY/PG,0.14853272193441255,0.06418020570555905,-0.08435251622885351
GM/MAR,-0.008122103583483349,-0.17488539493137914,-0.1667632913478958
CL/TSN,0.40763562398494396,0.2745208920419095,-0.13311473194303447
IFF/NUE,0.33314362630430766,0.01672397724235822,-0.3164196490619494
F/TJX,-0.0664252352473732,-0.04205639255177958,0.024368842695593626
AVGO/ORCL,0.19615688562758207,0.22325113879058642,0.027094253163004345
BAC/TFC,0.6905506949922195,0.5441783826868194,-0.14637231230540015
OMC/T,-0.16531467989786885,-0.34062243495115685,-0.175307755053288
TMO/ZTS,-0.25734194473483823,-0.004304201064927493,0.2530377436699107
LIN/SHW,0.9951780136434406,0.7885100529769664,-0.2066679606664742
C/MET,-0.5322609473025491,-0.353726234549754,0.17853471275279514
CMCSA/TMUS,-0.15760558392912405,-0.12234874393945187,0.035256839989672176
ADBE/INTC,-0.525227213766147,-0.677207360415627,-0.15198014664948
GILD/JNJ,0.15033614969445586,0.31128134846921535,0.1609451987747595
KR/STZ,0.3955426842279874,0.5073942393893159,0.11185155516132855
ALB/DD,0.029009796096126143,-0.46526932029579804,-0.4942791163919242
DUK/XEL,0.15693380054145217,0.17822985594059454,0.021296055399142366
LOW/ROST,-0.01054230634722616,-0.379456725553493,-0.3689144192062669
EXC/PEG,-0.07902699440132228,-0.2572588634153274,-0.17823186901400512
AMGN/MDT,-0.23739956396075937,-0.23429450571059005,0.0031050582501693236
ABBV/CI,0.4464973217838281,0.447632396506668,0.0011350747228398572
HON/WM,0.3320474908299768,0.06367920028245015,-0.26836829054752664
CRM/CSCO,-0.4506429855302351,-0.3837053958647569,0.06693758966547819
EL/WMT,-0.428705483551004,-0.22926776004762106,0.19943772350338296
CVS/SYK,0.18562468419375583,-0.09108059527024796,-0.2767052794640038
EQIX/PLD,0.27991443101250923,0.1568300908128848,-0.12308434019962444
GS/WFC,-0.24374502112849772,0.0654056631288052,0.3091506842573029
CSX/DE,0.02888781140226923,0.10052152280969351,0.07163371140742428
AEE/DTE,-0.45647346956968565,-0.45379477215844366,0.0026786974112419926
