,n,log_loss,brier,reliability,resolution,n_bets,mean_payoff,t,sharpe,log_growth,total_return,max_drawdown,days
logit+none,5868.0,0.4439132041011393,0.14631520382640315,0.0004954775560256739,0.07109035440241404,2131.0,-0.030493690504816994,-2.2298873631988556,-2.485111254218211,-1.009574377813864,-0.08723478354276026,-0.05904715881343947,33.0
logit+isotonic,5868.0,0.4469082728573474,0.14676293755061873,0.0007316502740325097,0.07087487521892107,2447.0,-0.008397915890486765,-0.657789382598105,-0.8437664705668982,-0.2214131007378561,-0.019819137478078952,-0.05258415471636668,33.0
logit+platt,5868.0,0.4437127286399957,0.14625631352342458,0.0005047443485248737,0.0709899823552127,1913.0,-0.04364672420699257,-2.8885490266898355,-1.5158974729174648,-0.704090343718608,-0.061673662904838666,-0.05344668448464762,33.0
hgb+none,5868.0,0.4582049209680518,0.15172911740225473,0.0014670099115112346,0.06667973993453441,2897.0,-0.0422184856559029,-2.4181389173116012,-8.441120241398425,-2.533914132530384,-0.2047459109331662,-0.2267047191042355,33.0
hgb+isotonic,5868.0,0.454262671943798,0.14999889537397326,0.00027598349467800563,0.06767308525508356,2617.0,-0.10861646868986026,-5.15743956014396,-11.290863584468438,-3.4122054006134714,-0.26545260770777,-0.25185065561518016,33.0
hgb+platt,5868.0,0.45318255293800197,0.14979448484477476,0.0002816036995710077,0.06765069730908801,2390.0,-0.15588590158391258,-6.051735477843317,-12.49864693023574,-8.420402837143278,-0.5329396006431433,-0.511460423968191,33.0
mlp+none,5868.0,0.4462111663182981,0.1467817157162211,0.0004291471910744594,0.07061307962131914,1831.0,-0.11458690717036629,-4.1819765629311245,-0.042534775509628545,-0.1793142501562982,-0.016081266553963247,-0.15818104767664087,33.0
mlp+isotonic,5868.0,0.44488649521591184,0.1468489753174565,0.00074178566307468,0.07040801021261898,2215.0,-0.012013384213225283,-0.5323844896910717,2.699130816924046,0.6716740767733983,0.06260846079216331,-0.058940849958050046,33.0
mlp+platt,5868.0,0.45376584265012154,0.14820785739582257,0.001388392293136791,0.06999440034959056,2960.0,-0.2238590751291953,-9.058600985187672,-14.170854719123183,-6.504559918442834,-0.44460932806806186,-0.4496909068305325,33.0
bias,5868.0,0.4430706665890362,0.14639749110113578,0.0004545315550317072,0.07099324945189016,2368.0,-0.007423217437386043,-0.6484642026017046,3.866247136296368,0.43630051879008563,0.04023468700154598,-0.02512727876963916,33.0
market,5868.0,0.44733169777601445,0.14754815311860942,0.001807880093085052,0.07024406687286215,0.0,,,,,,,0.0
hgb+none+settle_volume,5868.0,0.44352674540883963,0.1470699935480253,0.0009617527926210143,0.07099823316308007,3056.0,0.024467881434240734,1.0956171431947237,9.037441009223926,3.129138616925674,0.3269836349398394,-0.043451523062677966,33.0
selected,5868.0,0.4455428925344245,0.14661073933996369,0.0005237214961453991,0.0708152937677082,2399.0,-0.0125770678363952,-0.9867203240641813,-0.8070187205114243,-0.3198173139856273,-0.028500951940260366,-0.04525007193103525,33.0
