signal,horizon,ic,ic_monthly_mean,t,n_events,n_months
sent,1,-0.023997380421000043,-0.013118355180455598,-0.7419107823674561,7373,43
sent,2,-0.004144409147532704,0.004131373622128818,0.161670605396752,7373,43
sent,3,-0.004929447719354743,-0.010310548998644897,-0.41696050960359565,7372,43
sent,4,-0.004151540965778255,-0.007705018588981239,-0.31181690050963334,7372,43
sent,5,0.003345351203566194,0.00197915655252701,0.08937049434647173,7372,43
sent,6,0.012289175193651426,0.0055170350163476645,0.2727074543731028,7372,43
sent,7,0.010203307282900954,0.006851795302472031,0.3473194966218686,7372,43
sent,8,0.008676775966856714,0.0034530810071776046,0.16619023478590567,7372,43
sent,9,0.006075703445845686,0.0007623004254075469,0.03556870334963089,7372,43
sent,10,0.003742237222681115,0.00010174692638902353,0.004966523597392346,7372,43
sent,11,0.0006773700403197334,-0.005770354296597495,-0.266025650356939,7371,43
sent,12,-0.0030062507909324044,-0.012181813362588606,-0.5936777321570818,7371,43
sent,13,0.002723585517106289,-0.009540458029896974,-0.42852112587521307,7371,43
sent,14,-0.0017066705078794412,-0.010300483019135555,-0.4793222168334191,7371,43
sent,15,0.004167637099804443,-0.005672999292300285,-0.26294503155510857,7371,43
sent,16,0.008255442073897081,-0.00022001633869214778,-0.0108936766684973,7370,43
sent,17,0.009429549203754658,0.0009463485055773224,0.042333234691408025,7370,43
sent,18,0.010878232725346292,-0.010219589696069571,-0.48707190955480806,7370,43
sent,19,0.008753142306399488,-0.010315389588216579,-0.46294489294464164,7370,43
sent,20,0.008663554873646288,-0.009343241459449411,-0.41314822959914266,7370,43
react,1,0.006100176019054209,-0.0031405849683083437,-0.1460526688811144,7375,43
react,2,0.008132063329314309,0.00914080386592994,0.5719596212428832,7375,43
react,3,0.0009281994992263677,-0.0032008480506548254,-0.17501094396247077,7374,43
react,4,0.0031306152750489465,-0.0024076228974502516,-0.11253329810225321,7374,43
react,5,0.005182651636938622,-0.006846604964946939,-0.33670030660116856,7374,43
react,6,0.009905149702454891,-0.0030269312180592,-0.14549147415248093,7374,43
react,7,0.012554992024611966,-0.000562660444862253,-0.026879408416617387,7374,43
react,8,0.010586108774186934,-0.007458645185649003,-0.3173928838405201,7374,43
react,9,0.017443197761106994,0.0007934123706122138,0.031221297020462384,7374,43
react,10,0.010604457114881964,-0.006432921222181925,-0.27973150613695624,7374,43
react,11,0.011147556923033073,-0.0002064868823784154,-0.008860274714456459,7373,43
react,12,0.012922695488335505,-0.0005492287102318086,-0.025980054462231998,7373,43
react,13,0.013149681208672288,0.005280996869511612,0.24632800375206673,7373,43
react,14,0.009430451808983735,0.003679938539015401,0.1868680409701736,7373,43
react,15,0.011657443485958794,0.009350212059136056,0.46519454676060823,7373,43
react,16,0.013930305837832209,0.008602575278310232,0.4042261942320272,7372,43
react,17,0.01670273353427117,0.0056006895774518796,0.2545513851845128,7372,43
react,18,0.01422698932073077,0.0005065356770995168,0.02340515408095656,7372,43
react,19,0.014946572131819599,0.003010681340997767,0.1436944963333074,7372,43
react,20,0.01138992266967248,-0.0011364634120303878,-0.05267003236231986,7372,43
resid,1,-0.022864768147157884,-0.011540793633047925,-0.6593006492016538,7372,43
resid,2,-0.003899227676505316,0.005011792624163374,0.19929032837533833,7372,43
resid,3,-0.004599499516048022,-0.009020242609503588,-0.3559312748658819,7371,43
resid,4,-0.004200987009625674,-0.005631805936355747,-0.2283874872207405,7371,43
resid,5,0.0029645130624087394,0.0034192269114689537,0.1495351542807951,7371,43
resid,6,0.011915810478745747,0.007751744261322514,0.376687822150572,7371,43
resid,7,0.009464447142809286,0.008447927935358677,0.4224754223358144,7371,43
resid,8,0.007938222852521755,0.005589664167791498,0.266770669341019,7371,43
resid,9,0.0046080852949224186,0.0008658641365611449,0.04059182406557888,7371,43
resid,10,0.0032325213104421277,0.0012074355197655563,0.05824107319722259,7371,43
resid,11,0.0003468802689479041,-0.004491317473171116,-0.20239926666147567,7370,43
resid,12,-0.003611065333725286,-0.010713667698881817,-0.5147064462014174,7370,43
resid,13,0.001789455974172638,-0.010421636569701806,-0.47015724332117237,7370,43
resid,14,-0.0023922030592250453,-0.011219304759223935,-0.5234147172945607,7370,43
resid,15,0.0032489854801691564,-0.00877001431040347,-0.4011767243369498,7370,43
resid,16,0.006958550003367504,-0.0031442181635257384,-0.15498981724618782,7369,43
resid,17,0.007837968473595532,-0.0005826253899833,-0.025574076924202088,7369,43
resid,18,0.00940876854794727,-0.011053523088684816,-0.5268978081767103,7369,43
resid,19,0.007356939346241278,-0.010553486758190312,-0.4817945599773328,7369,43
resid,20,0.007662914404013643,-0.009044786875267625,-0.4027257451770253,7369,43
