depth,horizon_s,slope_bps,t_stat,r2,hit_rate,n,window
1,1,0.38166079643880585,9.291389723971141,0.06495856021216773,0.7119741100323624,1492,formation
1,2,0.5300318606909313,7.75010345093503,0.05842831672895554,0.6623093681917211,1491,formation
1,5,0.6580712503281994,4.642610727042268,0.032441711846884935,0.603125,1488,formation
1,10,0.7625306050247131,3.5171417788881914,0.021381284092096053,0.5770584095707249,1483,formation
1,30,1.129625815403272,2.40083236103034,0.01535001993350249,0.5364010989010989,1463,formation
5,1,0.39363489162660126,8.123632014787969,0.0537859398777113,0.6731391585760518,1492,formation
5,2,0.5427500747362057,6.479262103919548,0.047692551697703034,0.6339869281045751,1491,formation
5,5,0.6590278171699426,3.8075712721153083,0.025333219401302953,0.5890625,1488,formation
5,10,0.82701888605055,3.156831567807369,0.01958040406145234,0.5566502463054187,1483,formation
5,30,1.406315683451335,2.7276347696521386,0.018465116525237302,0.5336538461538461,1463,formation
20,1,0.4700355637452891,6.031037165666598,0.034993771421673925,0.6504854368932039,1492,formation
20,2,0.6849246778350921,5.00647695853438,0.03464746630249427,0.6176470588235294,1491,formation
20,5,0.7361671264183703,2.563347469451103,0.014423771431340437,0.56328125,1488,formation
20,10,1.133495620612817,2.445676440105792,0.016776652826501315,0.553835327234342,1483,formation
20,30,2.881785724825713,2.63455484370118,0.035336238329377934,0.5611263736263736,1463,formation
1,1,0.2694427379909424,9.05675025096164,0.06502139997136513,0.7654986522911051,1489,evaluation
1,2,0.4178408172588653,8.66584822864633,0.07210811629305114,0.7098360655737705,1488,evaluation
1,5,0.5386091649260156,5.125452079524466,0.04794354932733935,0.6345776031434185,1485,evaluation
1,10,0.6510929556675215,3.230456009602111,0.03434395327236128,0.5715384615384616,1480,evaluation
1,30,1.0482066034667983,1.9009245725290036,0.025214892813666068,0.5251550654720882,1460,evaluation
5,1,0.3059062953164088,9.805688091855117,0.06457218942916387,0.7681940700808625,1489,evaluation
5,2,0.4456001622612869,8.365772761782884,0.06320325767319446,0.7081967213114754,1488,evaluation
5,5,0.5804181676986957,4.618350704078834,0.042911166447134774,0.6355599214145383,1485,evaluation
5,10,0.7146139052122014,2.9566080191636575,0.031893986751855063,0.5615384615384615,1480,evaluation
5,30,0.9854323909469708,1.5068387344467238,0.017261940175206103,0.49276361130255,1460,evaluation
20,1,0.341067818899782,7.01633991218921,0.03272442423450461,0.6630727762803235,1489,evaluation
20,2,0.5166089773120535,6.117300923549943,0.0346002272909145,0.6229508196721312,1488,evaluation
20,5,0.7355140203840604,4.312256530266324,0.028017340479258857,0.581532416502947,1485,evaluation
20,10,0.9655707397115596,3.045115251685419,0.02368704452936954,0.5507692307692308,1480,evaluation
20,30,0.7439793505156832,0.9403429843849764,0.004043027897750795,0.461750516884907,1460,evaluation
