,group,overnight_ann,intraday_ann,total_ann,overnight_t,intraday_t,overnight_bps,intraday_bps,days
SPY,index,0.07121367886328445,0.011346054257265648,0.08336772738479303,3.7660619540742557,0.859076815880679,2.979722072987515,0.9224597198659141,6704
QQQ,index,0.11405521846441036,-0.025185677417716268,0.08599698310664206,4.710115747838025,0.015305744468687845,4.6896783260887664,0.023762026944762808,6704
IWM,index,0.1344566797149549,-0.04133931375555977,0.08755901909012831,5.4874038991226115,-0.6168765856773644,5.355686244809542,-0.8723480255742909,6603
XLK,sector,0.11081573358416597,-0.022036587223078774,0.08633714578227059,4.172951393186805,0.008394327682159877,4.675101298391185,0.012533032458620315,6704
XLF,sector,0.08582169305871501,-0.020006193500305303,0.06409853416055289,3.136018389133976,0.16888107334780966,3.850800226306879,0.2629493560742525,6704
XLE,sector,0.12683950834356184,-0.033516456198521505,0.08907184131940116,4.509637217289021,-0.19126888101756293,5.272030549598686,-0.30799039140609485,6704
XLV,sector,0.07926323119362677,0.0036372395901513865,0.08318877014631831,3.9817936684933306,0.5506209433682232,3.250644038440072,0.6114741558218639,6704
XLY,sector,0.07914760283798272,0.012204724458032112,0.09231830198016566,3.2577978292080974,0.8410412706482673,3.4147925181564434,1.2089410263556195,6704
XLP,sector,0.04599397142217421,0.028850087314585826,0.07617098882823425,2.7311450358291784,1.5122903950648579,1.956919340063937,1.4800952929006046,6704
XLI,sector,0.11981144233782537,-0.027321813737668288,0.08921616268896115,4.9375473449623195,-0.3966139026612285,4.8293019246342626,-0.5004603698532871,6704
XLU,sector,0.14389020340619818,-0.056031974164222564,0.07979577708223462,6.982874334941764,-1.3438295823503332,5.524569163210778,-1.6894966277735448,6704
XLB,sector,0.09210782928190109,-0.013212443123946094,0.07767841670229836,3.7881199044062455,0.15451577117118995,3.866248105633581,0.2162235386763595,6704
AAPL,stock,0.16156431129315174,0.07613620701266455,0.25000141215629124,3.949302886837109,2.1096170527931726,7.141038066758892,4.831936954870877,6704
MSFT,stock,0.06922502018792498,0.03372367154290523,0.10528321357419856,2.498406870416181,1.4315187151889237,3.2777558609469306,2.437021686264349,6704
AMZN,stock,0.04990856570470159,0.10961301583855665,0.16499220994632768,1.6039791985597778,2.514579617301632,3.655598816763763,7.184799822273578,6704
JPM,stock,0.09396972217539257,0.013764381466602416,0.10902753874432713,3.0007641056742567,1.1440614148243466,4.35730219427237,2.360740093978159,6704
XOM,stock,0.01825944574564442,0.0688547756684752,0.08837147145476631,1.068145846539266,2.3700728894781777,1.1496020158671452,3.5616610478877226,6704
JNJ,stock,0.022232348536454838,0.07245586988529085,0.09629908257454756,1.3606544395600175,2.741000644326098,1.1013112651335453,3.296538143656607,6704
PG,stock,-0.07173023888358898,0.1484829050979264,0.06610195196153357,-2.7988314478784897,4.959197755555783,-2.6258877585072273,6.084867768781188,6704
WMT,stock,0.010693588535416243,0.06687416423232273,0.07828287756368901,0.7748726710824009,2.305754974047224,0.7695482934366308,3.3585342837570984,6704
GE,stock,0.15624789675851836,-0.10354646012833557,0.036522520018340554,4.173216589207581,-1.3858712274196738,6.563144669772802,-2.8422243414146635,6704
INTC,stock,0.06088863787735099,-0.010667534678146517,0.04957157154314329,1.9433869717254848,0.6831105007649221,3.650564127331412,1.601779197797939,6704
KO,stock,0.042961767524608785,0.040959227397150855,0.08568067572718285,2.097797967728872,1.6993839802563055,1.9015673423508817,2.1007225766959667,6204
PFE,stock,0.07499022859123117,-0.03617736143744954,0.03609991854975947,2.737400324314871,-0.33023787801357735,3.3294089840144965,-0.5418731679174763,6704
