,breakeven_overnight_bps,breakeven_intraday_bps,buy_hold_ann,overnight_net_0bps,overnight_net_0.25bps,overnight_net_0.5bps,overnight_net_1bps,overnight_net_2bps,overnight_net_5bps,intraday_net_0bps,intraday_net_0.25bps,intraday_net_0.5bps,intraday_net_1bps,intraday_net_2bps,intraday_net_5bps
SPY,1.4895281662608006,0.46119795243826367,0.08336772738479303,0.07121367886328445,0.05780089682879108,0.04455572863357715,0.018559897835350503,-0.03151065366663253,-0.16745727409100974,0.011346054257265648,-0.0013171187910770987,-0.013822045545203276,-0.03836503022107529,-0.08563725582386161,-0.21398613790843335
QQQ,2.3440147446207593,0.011880992297763626,0.08599698310664206,0.11405521846441036,0.10010601289086862,0.08633112461370018,0.05929563064034604,0.007222584624571704,-0.13416101129542324,-0.025185677417716268,-0.037391432712750805,-0.049444657868918385,-0.07310110353382793,-0.11866576696822395,-0.24237844475718417
IWM,2.6767679756722895,0.0,0.08755901909012831,0.1344566797149549,0.12025202524420697,0.10622488030618338,0.07869429096094405,0.025667642095974275,-0.11830508217764091,-0.04133931375555977,-0.05334280762736998,-0.06519629893539847,-0.08846073392559317,-0.13327034587385012,-0.25493298237690687
XLK,2.3367313469269124,0.006266510338415188,0.08633714578227059,0.11081573358416597,0.09690708995028263,0.0831722567274431,0.05621537741564708,0.004293751044464944,-0.13667872519877944,-0.022036587223078774,-0.03428177261616028,-0.04637393512919119,-0.07010680178972772,-0.11581865965030225,-0.2399309852199243
XLF,1.9248442166974744,0.13147208525521314,0.06409853416055289,0.08582169305871501,0.07222600250258293,0.05880021151582482,0.03244987864876214,-0.018303479039835313,-0.15610398744208742,-0.020006193500305303,-0.03227680167222691,-0.044394069266429526,-0.06817620879634045,-0.11398297109612421,-0.23835297183381865
XLE,2.6349734460229257,0.0,0.08907184131940116,0.12683950834356184,0.11273022929728738,0.09879726791757482,0.07145152936544852,0.018780921483688706,-0.12422511544680603,-0.033516456198521505,-0.04561790091372564,-0.05756811901506731,-0.08102239631723418,-0.12619766340968064,-0.2488530906770121
XLV,1.624925875778338,0.30572305735221406,0.08318877014631831,0.07926323119362677,0.06574965984602721,0.05240496185893817,0.026213787400982458,-0.024233015387254087,-0.1612011961751998,0.0036372395901513865,-0.008929410558126238,-0.021339020617864857,-0.045694930533868194,-0.09260683157263461,-0.21997739595817867
XLY,1.706959103178196,0.6044157110085546,0.09231830198016566,0.07914760283798272,0.06563547928549873,0.05229221100104309,0.026103842570706526,-0.024337555529698074,-0.16129106204258015,0.012204724458032112,-0.0004692000925269335,-0.012984743991913628,-0.03754856656940275,-0.08486092803990475,-0.21331878307185104
XLP,0.9783160859488937,0.739965506003637,0.07617098882823425,0.04599397142217421,0.03289696806522713,0.019963632395570752,-0.0054201755538481056,-0.05431191027519178,-0.18705792370363405,0.028850087314585826,0.015967744380014137,0.003246386612624219,-0.021721379683034114,-0.06981177686632056,-0.20038207768824823
XLI,2.4137767332454985,0.0,0.08921616268896115,0.11981144233782537,0.10579016246418949,0.09194410056883706,0.06476891661130613,0.012426813814800264,-0.12968729852543648,-0.027321813737668288,-0.039500822239396216,-0.05152763484557099,-0.07513224151754172,-0.12059705790392616,-0.24403864084113736
XLU,2.761140575855414,0.0,0.07979577708223462,0.14389020340619818,0.1295674307676331,0.11542364373435854,0.08766412500691745,0.034196535419150687,-0.11097338759251496,-0.056031974164222564,-0.06785149965002679,-0.07952332154681774,-0.10243120030411967,-0.14655404954180917,-0.26635205570358744
XLB,1.9325636880651587,0.10811001614596805,0.07767841670229836,0.09210782928190109,0.07843342933597586,0.06492991255723357,0.03842702998243608,-0.01262015359143731,-0.1512184290423486,-0.013212443123946094,-0.025568116577232458,-0.03776938642811567,-0.06171639426465314,-0.10784070929441347,-0.23307289786810748
AAPL,3.5686078797214638,2.4150932942779146,0.25000141215629124,0.16156431129315174,0.14702023924306906,0.13265791828301432,0.10446949062059119,0.05017577983341637,-0.09723714593638932,0.07613620701266455,0.06266178947217527,0.049355756003701234,0.023240467051236946,-0.027060172717995323,-0.16363150610025978
MSFT,1.6384751523579322,1.2182881730515849,0.10528321357419856,0.06922502018792498,0.05583713836323989,0.04261655921049079,0.016668988470420087,-0.03330860936733204,-0.16900285117535352,0.03372367154290523,0.020780305934454457,0.007998688067616166,-0.017087348628691323,-0.06540554634787255,-0.19659434870527082
AMZN,1.8272984333911335,3.5904652688678595,0.16499220994632768,0.04990856570470159,0.03676254729044093,0.023780809083819632,-0.0016979968409053248,-0.050772707095981806,-0.1840155176374032,0.10961301583855665,0.09571943156331364,0.08199946950870673,0.05507177732141266,0.0032063682503009616,-0.13761347232737464
JPM,2.177939377473459,1.1801610970785248,0.10902753874432713,0.09396972217539257,0.08027200926768918,0.06674547085934823,0.04019740453309284,-0.010936807432831763,-0.14977137378578842,0.013764381466602416,0.0010709282823850863,-0.011463900209621736,-0.03606557198610605,-0.0834508347722972,-0.2121066242626245
XOM,0.5747514532505882,1.7803549614880954,0.08837147145476631,0.01825944574564442,0.005509709376665839,-0.007080698953050635,-0.031791455343306074,-0.07938682592771673,-0.20861307937811446,0.0688547756684752,0.05547152971536051,0.04225552850166214,0.01631694272329609,-0.033643349186007976,-0.16929060364487258
JNJ,0.5506101534957786,1.6478616651061095,0.09629908257454756,0.022232348536454838,0.009432867023040137,-0.0032066648071751302,-0.02801383418278136,-0.07579490575078185,-0.20552535618665657,0.07245586988529085,0.05902753424300422,0.04576700680682699,0.0197410309607311,-0.03038758289684862,-0.16649184849949017
PG,0.0,3.041046127474356,0.06610195196153357,-0.07173023888358898,-0.0833532047033293,-0.0948309232567035,-0.1173578421350171,-0.16074692481647967,-0.2785526804336327,0.1484829050979264,0.1341026267460228,0.11990205262388143,0.09203107985282433,0.038348818709675214,-0.10740395932515479
WMT,0.38475194046982963,1.678844269509261,0.07828287756368901,0.010693588535416243,-0.001961414919236071,-0.014458274171613827,-0.03898542504248348,-0.08622715316453955,-0.21449323149895516,0.06687416423232273,0.05351571772866559,0.040324206056241874,0.014433685048506284,-0.0354340293397325,-0.1708299264490496
GE,3.279957910289344,0.0,0.036522520018340554,0.15624789675851836,0.1417703921083533,0.12747380668369712,0.09941439586956768,0.04536918434357129,-0.1013690407544452,-0.10354646012833557,-0.11477105160956846,-0.12585537413931314,-0.1476101883288634,-0.18951212070981416,-0.30328011258454846
INTC,1.8247824674555435,0.8007933981168947,0.04957157154314329,0.06088863787735099,0.04760513679489753,0.03448763398258414,0.008742367589715139,-0.04084557198651717,-0.17548185213474177,-0.010667534678146517,-0.023055073204625742,-0.035287809924416935,-0.059296576689784275,-0.10553984554912776,-0.2310950058224207
KO,0.9506480942211848,1.0501958284880875,0.08568067572718285,0.042961767524608785,0.029902730719774118,0.017006887150356587,-0.008303336358327251,-0.057053340139883946,-0.18941453970677347,0.040959227397150855,0.027925264613284595,0.015054181725446591,-0.010207444854961611,-0.05886384612698603,-0.19097090539678707
PFE,1.6642889211493372,0.0,0.03609991854975947,0.07499022859123117,0.06153015997018296,0.04823829610880015,0.022150817351192176,-0.028096257221195686,-0.16452215566685768,-0.03617736143744954,-0.04824548867110101,-0.06016280564530363,-0.08355250904991329,-0.12860340040347895,-0.2509211349381285
