,start,end,stale_open_pct,dropped_days
SPY,2000-01-03,2026-08-31,0.9246830723340791,0
QQQ,2000-01-03,2026-08-31,1.0589112602535422,0
IWM,2000-05-26,2026-08-31,1.4688067837674137,0
XLK,2000-01-03,2026-08-31,2.878448918717375,0
XLF,2000-01-03,2026-08-31,3.8627889634601043,0
XLE,2000-01-03,2026-08-31,2.013422818791946,0
XLV,2000-01-03,2026-08-31,3.6987322893363164,0
XLY,2000-01-03,2026-08-31,2.938105891126025,0
XLP,2000-01-03,2026-08-31,4.429530201342282,0
XLI,2000-01-03,2026-08-31,2.684563758389262,0
XLU,2000-01-03,2026-08-31,3.95227442207308,0
XLB,2000-01-03,2026-08-31,2.9231916480238627,0
AAPL,2000-01-03,2026-08-31,1.0738255033557047,0
MSFT,2000-01-03,2026-08-31,1.7747949291573453,0
AMZN,2000-01-03,2026-08-31,1.1633109619686801,0
JPM,2000-01-03,2026-08-31,4.205816554809844,0
XOM,2000-01-03,2026-08-31,3.8627889634601043,0
JNJ,2000-01-03,2026-08-31,4.742729306487696,0
PG,2000-01-03,2026-08-31,4.757643549589859,0
WMT,2000-01-03,2026-08-31,4.53392990305742,0
GE,2000-01-03,2026-08-31,4.697986577181208,0
INTC,2000-01-03,2026-08-31,2.505592841163311,0
KO,2000-01-03,2026-08-31,8.993288590604028,500
PFE,2000-01-03,2026-08-31,5.727069351230425,0
