pvalue_max,lookback,entry_z,exit_z,n_pairs,sharpe,annual_return
0.05,90,1.5,0.0,35,3.0125863532845423,0.06111549447837117
0.05,90,2.0,0.0,35,2.936516107267802,0.05149329444949724
0.05,90,1.5,0.25,35,2.934421590677343,0.057478073213955705
0.05,90,1.5,0.5,35,2.9298507741281634,0.055053558670072444
0.05,90,2.0,0.25,35,2.8843458278411456,0.04867556036522358
0.05,60,1.5,0.0,35,2.845064757949655,0.06040040827600679
0.05,90,2.0,0.5,35,2.781568225544442,0.045317220302825145
0.05,60,1.5,0.25,35,2.771259723264108,0.056934784563701824
0.01,90,1.5,0.0,20,2.748256794561588,0.0712045875763434
0.05,60,2.0,0.0,35,2.7142090799517042,0.0517831382236531
0.05,60,1.5,0.5,35,2.6769874336678474,0.05226564808366696
0.01,90,1.5,0.5,20,2.6662060736972593,0.06342134148048006
0.05,60,2.0,0.25,35,2.66619419678492,0.04862544412817993
0.01,90,2.0,0.0,20,2.6617336737659363,0.060084915245088855
0.01,90,1.5,0.25,20,2.64585579276637,0.06569284560272082
0.01,90,2.0,0.25,20,2.632006772730078,0.056768396469215165
0.05,90,2.5,0.0,35,2.580076768288384,0.03727659790968918
0.01,90,2.0,0.5,20,2.552866734850348,0.052265169523785016
0.05,60,2.0,0.5,35,2.541840324847428,0.043300964169430634
0.01,90,2.5,0.0,20,2.5265748699535533,0.04754783163117904
0.05,90,2.5,0.25,35,2.5151001344689337,0.03471912803639787
0.05,90,2.5,0.5,35,2.5068841740593886,0.032589746674527964
0.01,90,2.5,0.25,20,2.4970052288196247,0.04400136212036343
0.05,60,2.5,0.0,35,2.4564990377655436,0.03754892216827077
0.01,90,2.5,0.5,20,2.4531190138352645,0.04042311960211564
0.01,60,1.5,0.0,20,2.4155706315612973,0.06359242070804672
0.05,60,2.5,0.25,35,2.3961167098570573,0.03433584070522344
0.05,60,2.5,0.5,35,2.3728220402086375,0.03196856981812024
0.01,60,1.5,0.25,20,2.351693683552624,0.05941127052240702
0.01,60,2.0,0.0,20,2.3316402989159815,0.05572786297605914
0.01,60,1.5,0.5,20,2.3293683371515033,0.05568000883635249
0.01,60,2.0,0.25,20,2.259477629677149,0.051436222503862705
0.05,30,2.0,0.0,35,2.2065630332181687,0.04384010693557627
0.01,60,2.0,0.5,20,2.152590583971491,0.046091984458764834
0.05,30,2.0,0.5,35,2.1428805957815067,0.03818256806658349
0.01,60,2.5,0.5,20,2.1394972314553375,0.03674786921437878
0.01,60,2.5,0.0,20,2.132094879831168,0.042490590852615195
0.01,60,2.5,0.25,20,2.126142802232495,0.0397569238739901
0.05,30,2.5,0.5,35,2.119158642438356,0.030816935973715598
0.05,30,2.0,0.25,35,2.050117614258207,0.03865673588811003
0.05,30,2.5,0.25,35,2.029673496913876,0.03134296062832709
0.05,30,1.5,0.0,35,2.027794823920852,0.043797357335513265
0.05,30,2.5,0.0,35,2.0253850267617675,0.033366347928833306
0.05,30,1.5,0.25,35,1.8647071510711248,0.03893841786507446
0.05,30,1.5,0.5,35,1.8068428267983725,0.036342651430126605
0.01,30,2.0,0.5,20,1.7600741372616069,0.038248409986199716
0.01,30,2.0,0.0,20,1.7462207638114526,0.04235292682717029
0.01,30,1.5,0.0,20,1.7440659004031327,0.04684119079625604
0.01,30,2.5,0.5,20,1.7072553357983602,0.029601681224640908
0.01,30,1.5,0.25,20,1.61693759752524,0.04225955314565066
0.01,30,2.0,0.25,20,1.5777115879434078,0.03664021243539217
0.01,30,2.5,0.0,20,1.5729446664074718,0.030806139963863055
0.01,30,2.5,0.25,20,1.5721969823081658,0.02906320412751473
0.01,30,1.5,0.5,20,1.536533744436146,0.038565249610719166
