pair,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,hit_rate,avg_hold_days
BDX/ISRG,0.27206441318938546,0.03691213474494259,0.14359354416930317,0.3248400292467896,-0.2349015887806215,34,0.6176470588235294,32.88235294117647
AMT/CCI,-0.003086935308594607,-0.0004655884418575118,0.07403133521509857,0.03073122113590423,-0.12341206484760947,31,0.6451612903225806,36.096774193548384
ETN/RTX,-0.05737341293060405,-0.008860355129824748,0.13909414735187783,0.005573116400701972,-0.2564832155633543,32,0.65625,33.625
NOC/UPS,0.0043013176457640245,0.0006467168267569878,0.17089089295856033,0.08906468846610838,-0.3829823163649291,34,0.6176470588235294,32.44117647058823
ACN/MSFT,-0.27497726711020454,-0.04728040382113097,0.13793303739574378,-0.2815926866086108,-0.4538783531653461,26,0.5769230769230769,41.5
AEP/WEC,-0.025770366698178893,-0.003924899291368633,0.059592853623710786,-0.036169226338658204,-0.14766684420607568,34,0.6176470588235294,31.147058823529413
HSY/PG,0.05652593277440965,0.008316819839835121,0.09438764485023088,0.1347019823502267,-0.22136181300921876,31,0.6774193548387096,37.516129032258064
GM/MAR,-0.16280549316896153,-0.026411309889584178,0.19731437914497724,-0.03678233927829843,-0.4700646778433286,35,0.5714285714285714,32.17142857142857
CL/TSN,0.3893215894361175,0.050775753277582325,0.13824494352235364,0.4274992218608855,-0.21669597350755077,31,0.7096774193548387,36.74193548387097
IFF/NUE,0.28181350502313673,0.03810527757344628,0.16479063618597406,0.309338053403632,-0.3701462084821242,31,0.7096774193548387,31.548387096774192
F/TJX,-0.3439934377059908,-0.061528007056561584,0.2961355118209275,-0.06666513222211667,-0.7353327558342289,36,0.6388888888888888,29.833333333333332
AVGO/ORCL,0.08785462714358716,0.012764761468073704,0.18924613773606486,0.161205355364049,-0.31533740045723013,36,0.6666666666666666,33.27777777777778
BAC/TFC,0.5425319280422076,0.06746406254434167,0.11836089698457788,0.6108145743044124,-0.14117662268129394,35,0.7428571428571429,27.6
OMC/T,-0.2666151548157464,-0.04563331630345746,0.16900756571471373,-0.1921705033449433,-0.4191655364900482,33,0.5454545454545454,32.666666666666664
TMO/ZTS,-0.22344390971106864,-0.037375312689914564,0.1282796025362919,-0.23301636764735234,-0.33756030779257173,30,0.6666666666666666,41.1
LIN/SHW,0.8740883663485861,0.09923289629418841,0.10054410853621927,0.9911416665513457,-0.10483590001201237,39,0.8461538461538461,26.94871794871795
C/MET,-0.35153994592988114,-0.06316217032221316,0.10854033186036524,-0.5466232348647625,-0.3783876215318712,31,0.45161290322580644,37.25806451612903
CMCSA/TMUS,-0.21822586358608298,-0.036403772660194345,0.14474140310658898,-0.18381115965525527,-0.3396024741501795,33,0.5757575757575758,37.78787878787879
ADBE/INTC,-0.6534242336091076,-0.14752647671333152,0.2623645100025712,-0.47392927504260784,-0.7340307226979244,29,0.6206896551724138,32.172413793103445
GILD/JNJ,0.15481253040479803,0.02191778218796392,0.1653963735294602,0.21368366574869743,-0.3757083231742919,37,0.5945945945945946,30.0
KR/STZ,0.4787469610196682,0.060695454461867415,0.17482433202609055,0.4243978751125124,-0.21396518712137436,29,0.7586206896551724,37.3448275862069
ALB/DD,-0.07570967909970339,-0.011788731944409991,0.17605728378859345,0.02032970020929116,-0.50572264369274,32,0.6875,32.03125
DUK/XEL,0.04906700227049554,0.007241336084716554,0.0699026603561425,0.13817264868681398,-0.11540885255571842,28,0.6428571428571429,36.357142857142854
LOW/ROST,-0.0998337082130687,-0.015717544162161423,0.14321106852245585,-0.039477528034418605,-0.2966082348753927,33,0.6363636363636364,34.484848484848484
EXC/PEG,-0.05321570303039036,-0.008203088058259644,0.07771883649059136,-0.06721561312777533,-0.26143411525720395,28,0.5714285714285714,40.17857142857143
AMGN/MDT,-0.22409038507519308,-0.03749606469188671,0.12066015783122072,-0.2562868702501348,-0.3658168698572912,29,0.5172413793103449,38.06896551724138
ABBV/CI,0.37610237484410214,0.04926365782073083,0.1422802443577887,0.40867952047179046,-0.19045877538956824,30,0.6666666666666666,35.43333333333333
HON/WM,0.20371321413068233,0.028321679056760862,0.11469187731375578,0.3006990635232292,-0.21298471453356005,33,0.696969696969697,31.818181818181817
CRM/CSCO,-0.43904190450794367,-0.08339549389706813,0.16425862904257646,-0.44751348331323637,-0.5314819760386476,29,0.5517241379310345,42.41379310344828
EL/WMT,-0.47361214655246864,-0.09213564230471416,0.16755933699984343,-0.49232461999339605,-0.5649102152737184,28,0.5357142857142857,34.642857142857146
CVS/SYK,0.08661283017286348,0.012590539245213916,0.20407317148714227,0.16449171362783616,-0.37916000236957514,39,0.6410256410256411,24.82051282051282
EQIX/PLD,0.1471442656829054,0.02089275782369171,0.10121697184551699,0.2547673474718375,-0.13845827371800723,33,0.6363636363636364,31.515151515151516
GS/WFC,-0.2801814267870474,-0.048313632453056976,0.13585055964838616,-0.29645651562023956,-0.4108842576319014,30,0.6666666666666666,36.13333333333333
CSX/DE,-0.03177871949410238,-0.004852649597591019,0.12575946620714065,0.024181697284875982,-0.29149743869606803,32,0.6875,35.90625
AEE/DTE,-0.22062510264902524,-0.03684979709969716,0.0737069394555185,-0.4722250419238222,-0.24754157035009883,36,0.5277777777777778,27.194444444444443
