a,b,sector,pvalue,beta,intercept
BDX,ISRG,Health Care,6.396823830253856e-05,0.5109295866971721,2.4886434625074596
AMT,CCI,Real Estate,6.962032180409897e-05,1.3750987754204207,-1.1800837922416072
ETN,RTX,Industrials,0.00020965357986274278,1.1362729236958566,-0.5593194942527262
NOC,UPS,Industrials,0.0015656061496726885,2.306903572624618,-4.599881305181285
ACN,MSFT,Information Technology,0.0024265634644214584,0.6199613331850933,2.1226037633954995
AEP,WEC,Utilities,0.0036297822643327608,0.8806984482466511,0.5210302958417685
HSY,PG,Consumer Staples,0.0038757438676628735,0.9824192531412184,0.2759785469526719
GM,MAR,Consumer Discretionary,0.004797083767167663,0.4484228113477844,1.3925693328113713
CL,TSN,Consumer Staples,0.004875431143646468,0.19516248970604444,3.2581065825875797
IFF,NUE,Materials,0.005105395449753486,0.48650989977915904,2.7826214170128125
F,TJX,Consumer Discretionary,0.0052756035917820455,-0.3716870229757241,3.3102856077757075
AVGO,ORCL,Information Technology,0.005486292283073821,2.094961783301714,-4.951030102927392
BAC,TFC,Financials,0.006280502955190743,1.6569916476914104,-2.743254143299568
OMC,T,Communication Services,0.006417722177014463,0.48314357873216185,2.7418874940079547
TMO,ZTS,Health Care,0.006885129391061832,0.7975697913517319,1.9054756179882588
LIN,SHW,Materials,0.00723595165243957,0.8872933144736042,0.6404781390395726
C,MET,Financials,0.007453205916925771,1.5139501395317287,-1.5013088817487557
CMCSA,TMUS,Communication Services,0.008507539077493863,0.5519163157269662,1.073187509195371
ADBE,INTC,Information Technology,0.009098203695847788,1.9023929198155463,-1.6466161321630146
GILD,JNJ,Health Care,0.009932872778468115,-0.7309781055449553,7.367686982148118
KR,STZ,Consumer Staples,0.013802920653644045,-0.5730098198552271,6.057967490318672
ALB,DD,Materials,0.013872709956365444,1.6394121063061768,-2.979980704872183
DUK,XEL,Utilities,0.01667896683384579,0.5558827548926288,2.0664732006505737
LOW,ROST,Consumer Discretionary,0.01673133269824434,0.6453576534448819,1.5809336374732474
EXC,PEG,Utilities,0.01762964189251318,1.0550692676704392,-0.7720094020799948
AMGN,MDT,Health Care,0.018073483356565875,0.935641402302565,0.9541340923579469
ABBV,CI,Health Care,0.020316286377055345,1.1878465572543728,-1.9758312162588147
HON,WM,Industrials,0.02702175454291752,0.7521224718198964,1.5174635946084294
CRM,CSCO,Information Technology,0.027234016485370067,1.080438449989173,1.004120492775705
EL,WMT,Consumer Staples,0.03565349746731731,1.3213170249267154,0.41503341874897615
CVS,SYK,Health Care,0.03926765183484939,-0.5019215995704203,6.509166276840968
EQIX,PLD,Real Estate,0.039305902818641644,0.8993258144128315,2.354700275761445
GS,WFC,Financials,0.040895433612805884,1.680863020613567,-1.1096892763942536
CSX,DE,Industrials,0.04150210550482964,1.2770630903730753,-3.293384024907832
AEE,DTE,Utilities,0.046159580786031676,1.2032195566865447,-1.2444308916801994
