a,b,sector,pvalue,beta,intercept
BDX,ISRG,Health Care,6.396823830253856e-05,0.5109295866971721,2.4886434625074596
AMT,CCI,Real Estate,6.962032180409897e-05,1.3750987754204207,-1.1800837922416072
ETN,RTX,Industrials,0.00020965357986274278,1.1362729236958566,-0.5593194942527262
BDX,UNH,Health Care,0.0006095535031715798,0.6788401792990486,1.4381325881428157
NOC,UPS,Industrials,0.0015656061496726885,2.306903572624618,-4.599881305181285
LMT,UPS,Industrials,0.002358298188743001,2.0514482692487723,-3.494648781457826
ACN,MSFT,Information Technology,0.0024265634644214584,0.6199613331850933,2.1226037633954995
AEP,WEC,Utilities,0.0036297822643327608,0.8806984482466511,0.5210302958417685
HSY,PG,Consumer Staples,0.0038757438676628735,0.9824192531412184,0.2759785469526719
GM,MAR,Consumer Discretionary,0.004797083767167663,0.4484228113477844,1.3925693328113713
CL,TSN,Consumer Staples,0.004875431143646468,0.19516248970604444,3.2581065825875797
IFF,NUE,Materials,0.005105395449753486,0.48650989977915904,2.7826214170128125
F,TJX,Consumer Discretionary,0.0052756035917820455,-0.3716870229757241,3.3102856077757075
ISRG,UNH,Health Care,0.005362832582248164,1.3161519293905286,-1.993261646686106
AVGO,ORCL,Information Technology,0.005486292283073821,2.094961783301714,-4.951030102927392
AEP,XEL,Utilities,0.005573492213662553,0.8694394117321487,0.8461798713917013
IFF,NEM,Materials,0.006230668078348519,0.3189876526159181,3.5976615109906476
BAC,TFC,Financials,0.006280502955190743,1.6569916476914104,-2.743254143299568
OMC,T,Communication Services,0.006417722177014463,0.48314357873216185,2.7418874940079547
TMO,ZTS,Health Care,0.006885129391061832,0.7975697913517319,1.9054756179882588
