anchor,ticker,kind
2008-06-20,ADCT,missed removal
2008-06-20,ASN,missed removal
2008-06-20,AV,missed removal
2008-06-20,BMET,missed removal
2008-06-20,BOL,missed removal
2008-06-20,DG,missed removal
2008-06-20,FDC,missed removal
2008-06-20,HCR,missed removal
2008-06-20,HLT,missed removal
2008-06-20,KMI,missed removal
2008-06-20,KSE,missed removal
2008-06-20,MEL,missed removal
2008-06-20,MXIM,missed removal
2008-06-20,NCR,missed removal
2008-06-20,PD,missed removal
2008-06-20,SANM,missed removal
2008-06-20,SLR,missed removal
2008-06-20,SNV,missed removal
2008-06-20,TEK,missed removal
2008-06-20,TIN,missed removal
2008-06-20,TSG,missed removal
2008-06-20,TXU,missed removal
2008-06-20,UVN,missed removal
2008-06-20,ACAS,missed addition
2008-06-20,AKAM,missed addition
2008-06-20,ANDV,missed addition
2008-06-20,ANF,missed addition
2008-06-20,COV,missed addition
2008-06-20,DDR,missed addition
2008-06-20,DFS,missed addition
2008-06-20,EXPD,missed addition
2008-06-20,EXPE,missed addition
2008-06-20,GGP,missed addition
2008-06-20,GHC,missed addition
2008-06-20,HST,missed addition
2008-06-20,ICE,missed addition
2008-06-20,J,missed addition
2008-06-20,JEF,missed addition
2008-06-20,MDLZ,missed addition
2008-06-20,MTW,missed addition
2008-06-20,NBL,missed addition
2008-06-20,NYX,missed addition
2008-06-20,POM,missed addition
2008-06-20,TDC,missed addition
2008-06-20,TEL,missed addition
2008-06-20,TIE,missed addition
2008-06-20,TSS,missed addition
2008-06-20,WFR,missed addition
2008-12-31,BRL,missed removal
2008-12-31,BSC,missed removal
2008-12-31,BUD,missed removal
2008-12-31,CBH,missed removal
2008-12-31,CC,missed removal
2008-12-31,CCU,missed removal
2008-12-31,CZN,missed removal
2008-12-31,DDS,missed removal
2008-12-31,EDS,missed removal
2008-12-31,HET,missed removal
2008-12-31,IACI,missed removal
2008-12-31,LIZ,missed removal
2008-12-31,MTG,missed removal
2008-12-31,SAF,missed removal
2008-12-31,SSP,missed removal
2008-12-31,TEX,missed removal
2008-12-31,UST,missed removal
2008-12-31,WEN,missed removal
2008-12-31,WWY,missed removal
2008-12-31,CAM,missed addition
2008-12-31,CF,missed addition
2008-12-31,DNB,missed addition
2008-12-31,DOC,missed addition
2008-12-31,DPS,missed addition
2008-12-31,DVA,missed addition
2008-12-31,FLS,missed addition
2008-12-31,FTR,missed addition
2008-12-31,IRM,missed addition
2008-12-31,ISRG,missed addition
2008-12-31,IVZ,missed addition
2008-12-31,MA,missed addition
2008-12-31,MFE,missed addition
2008-12-31,NDAQ,missed addition
2008-12-31,PM,missed addition
2008-12-31,PXD,missed addition
2008-12-31,SJM,missed addition
2008-12-31,SNI,missed addition
2008-12-31,SWN,missed addition
2008-12-31,WEC,missed addition
2009-06-10,ABI,missed removal
2009-06-10,AW,missed removal
2009-06-10,DDR,missed removal
2009-06-10,GGP,missed removal
2009-06-10,GM,missed removal
2009-06-10,HPC,missed removal
2009-06-10,MER,missed removal
2009-06-10,NCC,missed removal
2009-06-10,NE,missed removal
2009-06-10,RIG,missed removal
2009-06-10,ROH,missed removal
2009-06-10,SOV,missed removal
2009-06-10,TEL,missed removal
2009-06-10,UIS,missed removal
2009-06-10,WFT,missed removal
2009-06-10,CEPH,missed addition
2009-06-10,DNR,missed addition
2009-06-10,DO,missed addition
2009-06-10,DV,missed addition
2009-06-10,EQT,missed addition
2009-06-10,ES,missed addition
2009-06-10,FLIR,missed addition
2009-06-10,LIFE,missed addition
2009-06-10,ORLY,missed addition
2009-06-10,PBCT,missed addition
2009-06-10,RSG,missed addition
2009-06-10,SCG,missed addition
2009-06-10,SRCL,missed addition
2009-06-10,TWC,missed addition
2009-06-10,WELL,missed addition
2009-06-10,WYNN,missed addition
2009-06-10,XRAY,missed addition
2009-12-31,ARG,missed removal
2009-12-31,BKNG,missed removal
2009-12-31,CIT,missed removal
2009-12-31,EQ,missed removal
2009-12-31,ESV,missed removal
2009-12-31,MTW,missed removal
2009-12-31,TT,missed removal
2009-12-31,TYC,missed removal
2009-12-31,WYE,missed removal
2009-12-31,CBE,missed addition
2009-12-31,CFN,missed addition
2009-12-31,FSLR,missed addition
2009-12-31,PWR,missed addition
2009-12-31,RHT,missed addition
2009-12-31,ROP,missed addition
2009-12-31,SGP,missed addition
2009-12-31,WDC,missed addition
2010-05-08,ACS,missed removal
2010-05-08,BDK,missed removal
2010-05-08,BNI,missed removal
2010-05-08,JAVA,missed removal
2010-05-08,PBG,missed removal
2010-05-08,SGP,missed removal
2010-05-08,BRK-B,missed addition
2010-05-08,MXB,missed addition
2010-05-08,NRG,missed addition
2010-05-08,OKE,missed addition
2010-05-08,URBN,missed addition
2010-05-08,WBD,missed addition
2010-12-07,ASH,missed removal
2010-12-07,CBE,missed removal
2010-12-07,MXB,missed removal
2010-12-07,APH,missed addition
2010-12-07,ARG,missed addition
2010-12-07,BKNG,missed addition
2011-06-29,QLGC,missed removal
2011-06-29,NE,missed addition
2013-12-29,FOXA,missed addition
2014-06-30,FRX,missed removal
2014-06-30,AMG,missed addition
2015-06-29,AGN,missed addition
2015-12-28,ALTR,missed removal
2015-12-28,CHD,missed addition
2016-12-30,UAA,missed addition
2023-06-19,DISH,missed removal
2023-06-19,PANW,missed addition
2026-06-30,SATS,missed removal
2026-06-30,ECHO,missed addition
