ticker,in_today,first_member,last_member,member_days,first_price,last_price,priced_member_days,price_share
A,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AA,False,2003-06-02,2016-10-31,3380,2003-06-02,2026-08-31,3380,1.0
AAL,False,2015-03-23,2024-09-20,2392,2005-09-27,2026-08-31,2392,1.0
AAP,False,2015-07-08,2023-08-24,2048,2003-06-02,2026-08-31,2048,1.0
AAPL,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ABBV,True,2013-01-02,2026-08-31,3436,2013-01-02,2026-08-31,3436,1.0
ABI,False,2003-06-02,2009-06-09,1517,2025-06-26,2026-08-31,0,0.0
ABK,False,2003-06-02,2008-06-09,1265,,,0,0.0
ABMD,False,2018-05-31,2022-12-21,1150,,,0,0.0
ABNB,True,2023-09-18,2026-08-31,741,2020-12-10,2026-08-31,741,1.0
ABS,False,2003-06-02,2006-06-01,757,,,0,0.0
ABT,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ACAS,False,2008-06-20,2009-03-02,175,,,0,0.0
ACGL,True,2022-11-01,2026-08-31,960,2003-06-02,2026-08-31,960,1.0
ACN,True,2011-07-05,2026-08-31,3812,2003-06-02,2026-08-31,3812,1.0
ACS,False,2003-06-02,2010-05-07,1747,,,0,0.0
ADBE,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ADCT,False,2003-06-02,2008-06-19,1273,2020-05-18,2026-08-31,0,0.0
ADI,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ADM,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ADP,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ADS,False,2013-12-23,2020-06-19,1634,,,0,0.0
ADSK,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ADT,False,2012-10-01,2016-05-02,901,2018-01-19,2026-08-31,0,0.0
AEE,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AEP,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AES,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AET,False,2003-06-02,2018-11-30,3905,2003-06-02,2018-11-29,3904,0.9997439180537772
AFL,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AGN,False,2003-06-02,2020-05-11,4198,,,0,0.0
AIG,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AIV,False,2003-06-02,2020-12-18,4421,2003-06-02,2026-08-31,4421,1.0
AIZ,True,2003-06-02,2026-08-31,5850,2004-02-05,2026-08-31,5678,0.9705982905982906
AJG,True,2016-05-31,2026-08-31,2578,2003-06-02,2026-08-31,2578,1.0
AKAM,True,2008-06-20,2026-08-31,4577,2003-06-02,2026-08-31,4577,1.0
AKS,False,2008-07-01,2011-12-15,874,,,0,0.0
ALB,True,2016-07-01,2026-08-31,2555,2003-06-02,2026-08-31,2555,1.0
ALGN,True,2017-06-19,2026-08-31,2313,2003-06-02,2026-08-31,2313,1.0
ALK,False,2016-05-13,2023-12-15,1912,2003-06-02,2026-08-31,1912,1.0
ALL,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
ALLE,True,2013-12-02,2026-08-31,3205,2013-11-18,2026-08-31,3205,1.0
ALTR,False,2003-06-02,2015-12-24,3166,,,0,0.0
ALXN,False,2012-05-21,2021-07-20,2306,,,0,0.0
AMAT,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AMCR,True,2019-06-11,2026-08-31,1816,2012-05-15,2026-08-31,1816,1.0
AMD,True,2003-06-02,2026-08-31,4971,2003-06-02,2026-08-31,4971,1.0
AME,True,2013-09-20,2026-08-31,3255,2003-06-02,2026-08-31,3255,1.0
AMG,False,2014-06-30,2019-12-20,1381,2003-06-02,2026-08-31,1381,1.0
AMGN,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AMP,True,2003-06-02,2026-08-31,5850,2005-09-15,2026-08-31,5272,0.9011965811965812
AMT,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AMTM,False,2024-09-30,2024-12-20,59,2024-09-24,2026-08-31,59,1.0
AMZN,True,2005-11-18,2026-08-31,5226,2003-06-02,2026-08-31,5226,1.0
AN,False,2003-06-02,2017-08-07,3572,2003-06-02,2026-08-31,3572,1.0
ANDV,False,2008-06-20,2018-09-28,2588,2003-06-02,2018-10-01,2587,0.999613601236476
ANET,True,2018-08-28,2026-08-31,2012,2014-06-06,2026-08-31,2012,1.0
ANF,False,2008-06-20,2013-12-20,1387,2003-06-02,2026-08-31,1387,1.0
ANR,False,2011-06-01,2012-10-01,338,,,0,0.0
ANSS,False,2017-06-19,2025-07-17,2031,,,0,0.0
AON,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AOS,True,2017-07-26,2026-08-31,2287,2003-06-02,2026-08-31,2287,1.0
APA,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
APC,False,2003-06-02,2019-08-08,4076,2026-02-12,2026-08-31,0,0.0
APD,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
APH,True,2010-12-07,2026-08-31,3956,2003-06-02,2026-08-31,3955,0.999747219413549
APO,True,2024-12-23,2026-08-31,422,2011-03-30,2026-08-31,422,1.0
APOL,False,2003-06-02,2013-06-28,2538,,,0,0.0
APP,True,2025-09-22,2026-08-31,237,2021-04-15,2026-08-31,237,1.0
APTV,True,2012-12-21,2026-08-31,3442,2011-11-17,2026-08-31,3442,1.0
ARE,True,2017-03-20,2026-08-31,2376,2003-06-02,2026-08-31,2376,1.0
ARES,True,2025-12-11,2026-08-31,180,2014-05-02,2026-08-31,180,1.0
ARG,False,2009-09-28,2016-05-20,1439,,,0,0.0
ASH,False,2003-06-02,2010-12-06,1894,2003-06-02,2026-08-31,1894,1.0
ASN,False,2003-06-02,2008-06-19,1273,,,0,0.0
ATI,False,2003-06-02,2015-07-01,3043,2003-06-02,2026-08-31,3043,1.0
ATO,True,2019-02-15,2026-08-31,1895,2003-06-02,2026-08-31,1895,1.0
ATVI,False,2015-08-28,2023-10-17,2048,,,0,0.0
AV,False,2003-06-02,2008-06-19,1273,2026-05-06,2026-08-31,0,0.0
AVB,False,2007-01-10,2026-08-17,4931,2026-07-17,2026-08-24,22,0.004461569661326303
AVGO,True,2014-05-08,2026-08-31,3097,2009-08-06,2026-08-31,3097,1.0
AVP,False,2003-06-02,2015-03-20,2972,,,0,0.0
AVY,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AW,False,2003-06-02,2009-06-09,1517,,,0,0.0
AWK,True,2016-03-04,2026-08-31,2638,2008-04-23,2026-08-31,2638,1.0
AXON,True,2023-05-04,2026-08-31,834,2003-06-02,2026-08-31,834,1.0
AXP,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
AYE,False,2003-06-02,2011-02-24,1949,,,0,0.0
AYI,False,2016-05-03,2018-06-15,535,2003-06-02,2026-08-31,535,1.0
AZO,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BA,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BAC,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BALL,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BAX,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BBBY,False,2003-06-02,2017-07-25,3563,2026-07-17,2026-08-31,0,0.0
BBWI,False,2003-06-02,2024-09-30,5370,2003-06-02,2026-08-31,5370,1.0
BBY,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BC,False,2003-06-02,2008-06-20,1274,2003-06-02,2026-08-31,1274,1.0
BCR,False,2003-06-02,2018-01-02,3674,,,0,0.0
BDK,False,2003-06-02,2010-05-07,1747,,,0,0.0
BDX,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BEAM,False,2003-06-02,2014-04-30,2748,2020-02-06,2026-08-31,0,0.0
BEN,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BF-B,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BG,True,2023-03-15,2026-08-31,869,2003-06-02,2026-08-31,869,1.0
BHF,False,2017-08-08,2019-04-01,414,2017-07-17,2026-08-31,414,1.0
BIG,False,2003-06-02,2013-02-14,2445,,,0,0.0
BIIB,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BIO,False,2020-06-22,2024-09-20,1070,2003-06-02,2026-08-31,1070,1.0
BJS,False,2003-06-02,2010-04-28,1740,,,0,0.0
BKNG,True,2009-11-03,2026-08-31,3996,2003-06-02,2026-08-31,3996,1.0
BKR,True,2003-06-02,2026-08-31,5850,2003-06-02,2026-08-31,5850,1.0
BLDR,True,2023-12-18,2026-08-31,677,2005-06-28,2026-08-31,677,1.0
