,today's members,point-in-time,difference (a - b)
gross annual return,-0.031095091910185224,-0.06289035214152416,0.03179526023133894
net annual return,-0.04874261647272338,-0.08009941277990407,0.03135679630718069
gross Sharpe,0.0033112782937648176,-0.09574250011917039,0.09905377841293521
net Sharpe,-0.06932556961221063,-0.16304905864450056,0.09372348903228993
annual vol,0.25300465835516506,0.27539510474890366,-0.022390446393738606
max drawdown (net),-0.8878338386455793,-0.9355033179456803,0.047669479300101014
long leg,0.2151603984278354,0.12089918411206857,0.09426121431576684
short leg,-0.2370264361579545,-0.199759683022096,-0.03726675313585848
annual turnover,6.6979114272923415,6.775926238510418,-0.0780148112180763
eligible names (median),446.0,397.0,49.0
share of long book outside today's list,0.0,0.14181927928307428,-0.14181927928307428
share of short book outside today's list,0.0,0.28401433420099687,-0.28401433420099687
