,today's members,point-in-time,difference (a - b)
gross annual return,-0.06253307774245587,-0.08422663263708519,0.02169355489462932
net annual return,-0.0797556472969635,-0.1010723014636109,0.02131665416664741
gross Sharpe,-0.1439305093547915,-0.17195850632614482,0.028027996971353303
net Sharpe,-0.22059177470889818,-0.23842840827211736,0.017836633563219184
annual vol,0.24190074348562707,0.2795366733664324,-0.03763592988080533
max drawdown (net),-0.8475981632484031,-0.9117147157172406,0.06411655246883752
long leg,0.18343968031957458,0.09901674445046815,0.08442293586910643
short leg,-0.24686586181637005,-0.20848218495782422,-0.03838367685854582
annual turnover,6.782849636018205,6.798199152819998,-0.015349516801792973
eligible names (median),401.0,367.0,34.0
share of long book outside today's list,0.0,0.17612206198991479,-0.17612206198991479
share of short book outside today's list,0.0,0.3230529999061371,-0.3230529999061371
