,today's members,point-in-time,difference (a - b)
gross annual return,0.09284838983890897,0.10410711149245633,-0.011258721653547354
net annual return,0.08762532778299104,0.09886366367740029,-0.011238335894409257
gross Sharpe,5.022203504757769,4.2631667175877865,0.7590367871699826
net Sharpe,4.754683740373864,4.061682214179251,0.6930015261946139
max drawdown (net),-0.011372735524069921,-0.01665300982704221,0.005280274302972288
trades,970.0,962.0,8.0
hit rate,0.8185567010309278,0.8284823284823285,-0.009925627451400687
pairs,40.0,40.0,0.0
names screened,459.0,446.0,13.0
pairs tested,11508.0,10511.0,997.0
