,today's members,point-in-time,difference (a - b)
gross annual return,0.011709309783712651,0.018434152577426532,-0.006724842793713881
net annual return,0.006881652862437804,0.013524391052261553,-0.006642738189823749
gross Sharpe,0.32780239093973823,0.35626875096254546,-0.028466360022807224
net Sharpe,0.2008381736758666,0.2693170901194166,-0.06847891644355003
max drawdown (net),-0.08014585954871245,-0.13353602961375421,0.053390170065041764
trades,1296.0,1307.0,-11.0
hit rate,0.6265432098765432,0.6266258607498087,-8.265087326553289e-05
pairs,40.0,40.0,0.0
names screened,459.0,446.0,13.0
pairs tested,11508.0,10511.0,997.0
