a,b,sector,pvalue,beta,intercept
BDX,ISRG,Health Care,6.396904988832087e-05,0.5109295760265118,2.488643508892057
AMT,CCI,Real Estate,6.962039773771811e-05,1.3750987909560601,-1.1800838480741227
MGM,UAA,Consumer Discretionary,0.00010037105678826,-0.42680796044193847,4.622206634329265
CPRT,CTAS,Industrials,0.00012116165383447525,1.2844844556384611,-2.250538781845158
NTRS,RF,Financials,0.00017481835803641825,0.6180122243070107,2.8151455713870197
ETN,RTX,Industrials,0.00020965179778858594,1.1362729255088304,-0.559319500066568
RJF,ZION,Financials,0.00023323651065422363,0.8155322193766863,0.9694247603846566
BAX,SYK,Health Care,0.000241122047908237,1.0496846830454736,-1.1928204931330875
CAH,STE,Health Care,0.0003769862947405027,-0.5857499402130091,6.516177539685248
COF,HBAN,Financials,0.0003853456186419906,0.6706822324322115,2.8306703308302508
CMI,PWR,Industrials,0.0006869248728891546,0.9322120128897118,1.5272270322312416
PH,ROK,Industrials,0.0007832083527685912,0.9731526354827391,0.16249893502457446
AFL,MSCI,Financials,0.0008178156495108503,0.4584362496707959,1.3412204244102774
LYB,SW,Materials,0.0009274799527066376,0.6143082617240161,2.091926321265216
AMGN,RMD,Health Care,0.0009523476122602959,0.41409665081598535,3.1002376068454893
A,WAT,Health Care,0.001020361929112912,1.2101933170116297,-2.258388092772776
MNST,WMT,Consumer Staples,0.0010780963591011702,0.4614377602322439,1.1000312594795645
ACN,GPN,Information Technology,0.0012519719456639616,0.6899540478125212,1.6737888902887548
NOC,UPS,Industrials,0.0015656217572089,2.3069036037000465,-4.604419093594117
ADP,MSI,Information Technology,0.0016426495454313701,0.7719448454692639,1.107446153185144
BNY,SCHW,Financials,0.00206502460110741,0.5914433904392986,1.5013955044440568
GILD,PRGO,Health Care,0.0020870349446553012,0.32133950790454113,2.6973364567381166
CDW,MSFT,Information Technology,0.002261316678468849,0.9802924812687266,-0.1233495907471216
AWK,CMS,Utilities,0.0023284289851054703,1.2471096653890985,-0.21531069580262496
HOG,NKE,Consumer Discretionary,0.002362567139946114,-0.5533424564353595,5.852833342645518
DAL,ROP,Industrials,0.0025950475610196293,0.44009567527268567,1.4306552161314556
MA,NOW,Information Technology,0.002673925081039852,0.8227266738590382,2.2752233136101694
GPC,ROST,Consumer Discretionary,0.002678170632814654,0.28489959688051725,3.1000145915212194
BBY,MAR,Consumer Discretionary,0.0028015868845058735,1.2493965956585988,-2.049570497213118
ORCL,SNPS,Information Technology,0.0028983173306684805,0.3854359355598702,2.0245540229882693
MU,TEL,Information Technology,0.003151916352221479,2.283774685773218,-6.217611809190551
EXPD,NSC,Industrials,0.0031639457744860196,0.5881263850236138,1.235268031768383
KEY,MS,Financials,0.003177756877691894,0.8912656923839499,-0.67763393520611
NWL,VFC,Consumer Discretionary,0.0031927799797118236,-1.6715414487117064,9.646402177353945
BBWI,LOW,Consumer Discretionary,0.0035743570351056153,-2.1188863121888817,12.410143451509281
AEP,WEC,Utilities,0.0036297984361372765,0.8806984442305783,0.521030310377192
SNA,UAL,Industrials,0.003802385214086143,0.1681177313876523,4.129510236795138
HSY,PG,Consumer Staples,0.0038758231639408865,0.9824192756185859,0.27597846309445373
EFX,JCI,Industrials,0.0038780013159930952,0.840764459645369,1.7920402649995708
AMAT,MCHP,Information Technology,0.004257438858176179,1.3100131152748076,-0.9840652730612911
