a,b,sector,pvalue,beta,intercept
PODD,ZTS,Health Care,9.04352000531974e-06,1.497551584453623,-2.11777558521964
BDX,ISRG,Health Care,6.396904988832087e-05,0.5109295760265118,2.488643508892057
AMT,CCI,Real Estate,6.962039773771811e-05,1.3750987909560601,-1.1800838480741227
CPRT,CTAS,Industrials,0.00012116165383447525,1.2844844556384611,-2.250538781845158
NTRS,RF,Financials,0.00017481835803641825,0.6180122243070107,2.8151455713870197
ETN,RTX,Industrials,0.00020965179778858594,1.1362729255088304,-0.559319500066568
MSCI,V,Financials,0.000210075299330039,1.4177035265382107,-1.8696309522591719
BAX,SYK,Health Care,0.000241122047908237,1.0496846830454736,-1.1928204931330875
CAH,CRL,Health Care,0.0002898090340728939,-0.6838077954237924,7.075943242922246
HUBB,PCAR,Industrials,0.00031233698152401975,0.8548187654165176,1.6364755560624857
COF,HBAN,Financials,0.0003853456186419906,0.6706822324322115,2.8306703308302508
EME,UPS,Industrials,0.0005348020742744549,2.0176957349845246,-4.602302515761817
MTB,RJF,Financials,0.0006068948851392324,0.7811213932440437,1.802399167229641
CMI,PWR,Industrials,0.0006869248728891546,0.9322120128897118,1.5272270322312416
PH,ROK,Industrials,0.0007832083527685912,0.9731526354827391,0.16249893502457446
LYB,SW,Materials,0.0009274799527066376,0.6143082617240161,2.091926321265216
AMGN,RMD,Health Care,0.0009523476122602959,0.41409665081598535,3.1002376068454893
GLW,TRMB,Information Technology,0.0010061168131163538,0.9160384064251996,-0.1414759191602002
A,WAT,Health Care,0.001020361929112912,1.2101933170116297,-2.258388092772776
MNST,WMT,Consumer Staples,0.0010780963591011702,0.4614377602322439,1.1000312594795645
MU,ON,Information Technology,0.0011853507872497655,1.3890846175577076,-0.4522860442179546
NUE,STLD,Materials,0.0015498106187188231,0.5213748119480524,2.109862342465109
J,PAYX,Industrials,0.0016341125134827592,1.1006775733517031,-0.44247960770915995
BNY,SCHW,Financials,0.00206502460110741,0.5914433904392986,1.5013955044440568
CASY,MDLZ,Consumer Staples,0.002258125308874243,1.2429083710774265,0.27222880373646063
CDW,MSFT,Information Technology,0.002261316678468849,0.9802924812687266,-0.1233495907471216
AFL,FIS,Financials,0.0022971684433859053,0.8458526286720831,-0.17922103242991483
BR,EXPD,Industrials,0.0023061352504149084,1.644781972882396,-2.2883339582128706
AWK,CMS,Utilities,0.0023284289851054703,1.2471096653890985,-0.21531069580262496
COHR,HPQ,Information Technology,0.0023901534489707025,1.1399816705928405,0.4829355142776919
BRO,ICE,Financials,0.0024633943756735863,1.1728590286176637,-1.6725271301453688
GPC,ROST,Consumer Discretionary,0.002678170632814654,0.28489959688051725,3.1000145915212194
CPT,PLD,Real Estate,0.0027347560658279903,0.6233124491862587,1.783509175412398
BBY,MAR,Consumer Discretionary,0.0028015868845058735,1.2493965956585988,-2.049570497213118
ORCL,SNPS,Information Technology,0.0028983173306684805,0.3854359355598702,2.0245540229882693
KEY,MS,Financials,0.003177756877691894,0.8912656923839499,-0.67763393520611
CPAY,FDS,Financials,0.0034561533805360645,1.0849965313085441,-0.38415509332195796
AEP,WEC,Utilities,0.0036297984361372765,0.8806984442305783,0.521030310377192
SNA,UAL,Industrials,0.003802385214086143,0.1681177313876523,4.129510236795138
HSY,PG,Consumer Staples,0.0038758231639408865,0.9824192756185859,0.27597846309445373
