,members (median),priced members (median),additions,removals,change rows,snapshots,anchor corrections,priced share
2003,493,296,1,1,1,0,0,0.601
2004,493,300,0,0,0,0,0,0.607
2005,493,301,2,1,2,0,0,0.612
2006,494,305,1,1,1,0,0,0.618
2007,494,307,3,3,11,1,0,0.622
2008,496,324,53,50,8,2,87,0.643
2009,500,341,37,35,13,2,49,0.68
2010,499,350,19,20,11,2,18,0.699
2011,498,355,18,18,19,2,2,0.713
2012,498,365,18,18,18,2,0,0.734
2013,497,378,19,19,19,2,1,0.758
2014,499,387,16,14,17,2,2,0.774
2015,501,396,29,26,29,2,3,0.793
2016,504,420,30,28,30,2,1,0.83
2017,505,435,27,27,29,2,0,0.862
2018,505,445,23,23,23,2,0,0.881
2019,505,450,21,21,24,2,0,0.893
2020,505,462,16,16,20,2,0,0.914
2021,505,469,19,19,20,2,0,0.928
2022,503,475,16,18,22,2,0,0.944
2023,503,485,15,15,17,2,2,0.962
2024,503,489,17,17,21,2,0,0.971
2025,503,492,19,19,21,2,0,0.981
2026,503,499,14,14,15,2,2,0.994
