window,expected_sharpe,median_sharpe,share_beating_1/N,1/N
24,0.2242771717570717,0.29638701440630955,0.1335,0.6777832480174873
36,0.3266581025953881,0.47130959820661605,0.2725,0.6777832480174873
48,0.43218646626365,0.6087689954567312,0.4065,0.6777832480174873
60,0.5311675068638453,0.6988694074416288,0.5305,0.6777832480174873
72,0.600589229020876,0.7648529717436672,0.6285,0.6777832480174873
84,0.645508690092777,0.803909954703707,0.6865,0.6777832480174873
90,0.688714736636389,0.8361416383766125,0.753,0.6777832480174873
96,0.7290400850720762,0.8544086241825442,0.783,0.6777832480174873
108,0.7639922211319597,0.8862069998738724,0.825,0.6777832480174873
120,0.8110164776133701,0.919768487120607,0.868,0.6777832480174873
180,0.9486386411566573,1.0158479524874395,0.9575,0.6777832480174873
240,1.0310621762921997,1.066289423609477,0.9855,0.6777832480174873
360,1.117339306436261,1.129383610526523,0.9975,0.6777832480174873
480,1.1577100632364958,1.1653776380826564,0.9995,0.6777832480174873
720,1.197723611033053,1.2021637172471134,1.0,0.6777832480174873
1200,1.231623179209846,1.2351112866769491,1.0,0.6777832480174873
2400,1.2581832487538887,1.2596426266187397,1.0,0.6777832480174873
6000,1.275320552162436,1.275928038654519,1.0,0.6777832480174873
