,1/N,tangency,tangency long-only,min variance,inverse vol,ERC,shrunk tangency,shrunk min variance
excess return (gross),+9.21%,+65.74%,+8.72%,+1.91%,+8.21%,+6.99%,+10.94%,+5.17%
excess return (net),+9.17%,+5.36%,+8.50%,+1.69%,+8.17%,+6.94%,+10.46%,+5.02%
vol,11.14%,665.90%,9.68%,4.46%,9.47%,7.92%,10.98%,6.26%
Sharpe (gross),0.83,0.10,0.90,0.43,0.87,0.88,0.99,0.83
Sharpe (net),0.82,0.01,0.88,0.38,0.86,0.88,0.95,0.80
max drawdown (net),-18.0%,ruin,-26.8%,-17.1%,-18.9%,-19.0%,-23.5%,-22.5%
monthly turnover,0.031,50.315,0.188,0.190,0.033,0.038,0.396,0.128
avg gross exposure,1.00,23.21,1.00,2.53,1.00,1.00,2.16,1.46
largest |weight|,0.07,298.74,0.74,1.67,0.20,0.40,1.13,0.76
p-value vs 1/N (net Sharpe),,0.02,0.79,0.10,0.35,0.62,0.63,0.91
