,weight,vol,mcr,contribution,pct
DBA,0.10055112308275348,0.12601988568025385,0.06404580458196135,0.0064398775794547725,0.061026916309730915
DBC,0.07932773771420026,0.1847133300811189,0.08777954422605089,0.0069633526610362075,0.06598758048381673
EEM,0.06393103206656328,0.2191396769820146,0.17439887314722488,0.011149499951547735,0.10565722594000922
EFA,0.1343073348377942,0.1635512009791519,0.13032496864548546,0.017503599201594243,0.16587127168420526
FXB,0.21660805272449118,0.06995628330130275,0.03679025153282804,0.00796906474377011,0.07551811989973577
FXE,0.1233456219681225,0.07164991178704452,0.027042730113559312,0.0033356023655730497,0.031609533550108475
FXY,0.01960857768959916,0.09861522312846215,0.009098520717823924,0.00017840905035587797,0.0016906771985390034
GLD,0.04146368325079707,0.24022061238693446,0.15348891352344235,0.006364215692844996,0.06030991329763917
IEF,-0.056653476437921346,0.054620808738153025,-0.00021129690978340685,1.1970704499819832e-05,0.00011343929642539483
QQQ,0.0712144414568884,0.2188387583030072,0.16168129906640136,0.011514043407037905,0.10911178896158488
SLV,0.03529829636411079,0.4789961609276866,0.3509946535313089,0.012389513302566527,0.11740810009280322
SPY,0.1443072040070672,0.1659780681272497,0.12097051259664741,0.01745691644012389,0.16542888672545275
TLT,-0.05908929240583003,0.11576881714416738,-0.0008426237353290586,4.979004028495148e-05,0.0004718308048621508
USO,0.04153881899911825,0.41293305872356006,0.10109448126024155,0.004199345358878926,0.03979471575508712
