,Mkt-RF,SMB,HML,RMW,CMA,Mom
DBA,0.18124055379963883,-0.030593287966182756,-0.044727706191291856,0.0012191552906926412,0.023250214885998533,-0.01880716520594018
DBC,0.1932048054393611,-0.3718042619244752,0.20908342539698796,-0.06839669850018322,0.030005525941019556,-0.05596158576465098
EEM,0.7047974446132952,-0.00865875381970794,-0.06844174444699944,-0.42844118591050245,0.04832013939431475,0.14817644725461765
EFA,0.7219682325456814,0.004426539357327802,0.06246058266305622,-0.12308526749054992,0.19947764794098483,0.03303830115846775
FXB,0.040355256947188244,0.06237705297202612,-0.04607671575128218,-0.07998919091854352,0.02600792903878566,0.0024725890200002205
FXE,-0.043622018885713085,0.08077743241310081,-0.07986288863837666,-0.049564234847280855,0.047854460786970886,0.027632553526206693
FXY,-0.14017738303375546,0.05122460093871512,-0.0799294630549431,-0.04088641286013262,0.020514208045426127,0.014462893722730559
GLD,0.07266090150240408,-0.040514784579695984,-0.039838198156235155,-0.43560040830694585,0.07475728610316949,0.14705452431748342
IEF,-0.016016601548253136,0.078392363284193,-0.04371315157611691,-0.0179232275319706,0.03937663519893679,0.005592149991586707
QQQ,1.1408696653715429,-0.20314436558364088,-0.15605194813216397,-0.19024445942208992,-0.03186278298103782,0.10162783875678927
SLV,0.5010360478019746,-0.1343499369625786,-0.09137345902703162,-0.8743308850443156,0.05375310374273925,0.18549195653905654
SPY,1.0117011237287552,-0.09526516735783261,0.01009484014271773,0.0215591724280177,0.017131904522119046,-0.009836910514033419
TLT,0.039227054718855715,0.15577304644338633,-0.10308459341207485,-0.00432825468083821,0.10078792698662971,-0.009968343970122232
USO,0.21777099928747579,-0.8913661698153216,0.5569511498385794,0.004196255416492312,0.04691549090142378,-0.20358437658071196
