,class,annual contribution,stand-alone Sharpe
NQ=F,equities,0.014704073112813866,0.6518420346379747
ES=F,equities,0.013429699601822222,0.6169812639734247
6J=F,fx,0.01214021513392233,0.37380244270681795
GC=F,commodities,0.011855122168638984,0.5998263807229297
EEM,equities,0.007898045863867475,0.35931985360992225
EFA,equities,0.00767458584070842,0.3421939784446785
HG=F,commodities,0.005787593579639967,0.2975188426571057
ZN=F,bonds,0.0035513211302456837,0.10708152505905925
NG=F,commodities,0.002977914599155837,0.1555031605903912
TLT,bonds,0.0012528508044711592,0.038411071756155483
CL=F,commodities,0.0007514996105935408,0.03680113027187281
ZC=F,commodities,0.0005934750410354795,0.027928586452627642
ZB=F,bonds,6.385939030047537e-05,0.0018895557214709746
6B=F,fx,-0.001885576926423004,-0.05912340111354516
6E=F,fx,-0.008853196963037107,-0.2686346634833578
