,full,in-sample,test
gross_annual_return,0.055422737436242375,0.07617539071369439,0.03444062150751903
gross_sharpe,0.4077262882290479,0.5305634597285993,0.28458150048100267
gross_max_drawdown,-0.3270223944679108,-0.3270223944679108,-0.28873453276803906
annual_return,0.04874860625868083,0.07023054529609096,0.027046875285541283
annual_vol,0.16653432582140756,0.16367012911953194,0.16987859113161682
sharpe,0.3697600826595459,0.49712372631189194,0.24236637156495094
hit_rate,0.5153846153846153,0.5227272727272727,0.5078125
n_months,260,132,128
max_drawdown,-0.3339584659501519,-0.3339584659501519,-0.3004761341619431
dd_peak,2008-12-31 00:00:00,2008-12-31 00:00:00,2022-10-31 00:00:00
dd_trough,2011-09-30 00:00:00,2011-09-30 00:00:00,2025-07-31 00:00:00
annual_turnover,12.782176408079337,11.212728856581453,14.400669195561532
avg_leverage,3.4805772943735045,3.349604807652622,3.615642671304414
