,har,garch,gjr,lgb
SPY,-1.1445800648518458,-4.295055452086415,-4.232593619581955,-1.1763939606821248
AAPL,-3.9157704755631686,-3.9676805481850006,-3.7291295037638306,-0.21803602344756096
MSFT,-0.9664192924803521,-5.000967681718073,-5.013046527677081,-0.8834910241833192
AMZN,-4.104783040185805,-3.910385739450479,-3.498848871660252,-1.750153844268792
NVDA,-3.788632587750842,-3.7420131735920203,-3.8662635885991574,1.0540781809306476
JPM,0.2332682468872415,-4.05671649628139,-3.7600994027549284,0.37914363279603164
BAC,2.291615761919601,-1.8542759841303307,-1.7330835488591576,1.4839191228637567
GS,-0.10670232443523822,-3.611667048437448,-2.974059859594528,-0.470608309049163
XOM,0.16084337236628837,-2.628237509792399,-2.3880430260537335,1.2674692568940016
CVX,0.6270273604741666,-3.3725563420865448,-2.8405526102036878,1.4582686742888449
JNJ,-1.1122538237892723,-3.699404617836709,-3.9083164628456237,-3.2504261235644507
PFE,-1.398920723049866,-2.7180090314532053,-2.8647493265969364,-2.4451981375112153
MRK,-2.460133667400706,-2.4481680481577897,-2.4491584824300023,-3.8535232982342733
UNH,1.1964342147631417,-1.1291982805311018,-1.1943113538423447,-0.260582611229165
PG,-0.6769017077185999,-3.2011009625808358,-3.651722645969914,-3.483393845691859
KO,-0.5481198105053022,-4.743189161732182,-4.679799667502391,-3.057609562454197
PEP,-0.17223373066194705,-2.292842616077048,-2.4352498776263345,-1.5774512305886073
WMT,-2.7707197123523777,-4.441978809033646,-4.441114989396813,-3.882763582599762
HD,-3.2736830461423696,-3.616646058238969,-4.1345348296275635,-3.8629863308783876
MCD,-3.1473355215480523,-3.0889941821177103,-3.126254616090491,-2.385303444329417
DIS,0.07939219117209985,-3.1033194475119403,-4.2553837327482915,-0.8931642855977507
