snapshot,expiry,T,cp,strike,bid,ask,mid,volume,openInterest,impliedVolatility,spot
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,500.0,263.89,268.05,265.97,,2.0,0.8071308349609375,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,550.0,214.0,218.18,216.09,,1.0,0.6599155102539063,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,590.0,174.1,178.3,176.2,2.0,0.0,0.5471236694335939,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,600.0,164.0,168.38,166.19,2.0,259.0,0.5158739819335938,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,615.0,149.17,153.43,151.3,2.0,2.0,0.5952188916015625,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,625.0,139.21,143.43,141.32,2.0,2.0,0.5601850622558593,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,640.0,124.26,128.5,126.38,3.0,768.0,0.5108081146240235,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,645.0,119.28,123.54,121.41,1.0,1.0,0.49493913269042966,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,650.0,114.31,118.57,116.44,1.0,2.0,0.4787039434814453,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,655.0,109.34,113.63,111.485,,1.0,0.46344530700683595,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,660.0,104.36,108.65,106.505,1.0,1.0,0.4467828759765625,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,670.0,94.43,98.73,96.58000000000001,1.0,119.0,0.41461767028808594,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,675.0,89.5,93.77,91.63499999999999,1.0,5.0,0.398443515625,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,680.0,84.51,88.84,86.67500000000001,1.0,17.0,0.3830017755126953,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,685.0,79.5,83.83,81.66499999999999,1.0,11.0,0.3651796881103516,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,690.0,74.62,78.93,76.775,8.0,22.0,0.35034829345703117,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,695.0,69.5,74.01,71.755,4.0,31.0,0.3347844842529296,765.1599731445312
2026-09-03 03:36:51.775415,2026-09-25,0.06214447693382166,C,700.0,64.77,69.07,66.91999999999999,82.0,77.0,0.31842722595214834,765.1599731445312
