start,end,months,recession_within_12m,months_to_next_recession
1966-09-01,1967-02-01,5,False,40.0
1969-01-01,1969-02-01,1,True,12.0
1969-07-01,1969-09-01,2,True,6.0
1969-11-01,1970-02-01,3,True,2.0
1973-06-01,1974-07-01,13,True,6.0
1974-08-01,1974-10-01,2,True,67.0
1978-12-01,1980-05-01,17,False,14.0
1980-11-01,1981-09-01,10,True,9.0
2000-08-01,2001-01-01,5,True,8.0
2006-08-01,2007-05-01,9,False,17.0
2019-06-01,2019-10-01,4,True,9.0
2020-02-01,2020-03-01,1,True,0.0
2022-11-01,2024-12-01,25,False,
